year,month,province,count,TMAX,TMIN,PPT,TAVG,WS,SOIL,Population,dengue_rate,CCA_1,GPP,GPPperCapita
2003,1,Amnat Charoen,7.0,30.4175,16.23368056,0.117361111,23.32559028,1.975381944,84.51770833,370133.0,1.8912120778206754,37,6889,0.01861222857729519
2003,2,Amnat Charoen,4.0,33.32340278,19.53597222,30.79826389,26.4296875,1.118298611,64.36631944,370115.0,1.0807451737973333,37,6889,0.018613133755724574
2003,3,Amnat Charoen,15.0,34.35128472,22.16354167,50.10625,28.257413195,1.683854167,50.81180556,370042.0,4.053593916366251,37,6889,0.018616805659898067
2003,4,Amnat Charoen,47.0,36.74295139,24.87506944,63.87013889,30.809010415000003,1.50625,42.20381944,370199.0,12.695874381076123,37,6889,0.018608910342815622
2003,5,Amnat Charoen,61.0,35.31697917,25.01527778,219.253125,30.166128475,1.561666667,90.0125,370443.0,16.46677086623313,37,6889,0.018596653196308204
2003,6,Amnat Charoen,132.0,32.80611111,24.23527778,203.025,28.520694445000004,1.723055556,140.3020833,370418.0,35.635417285337105,37,6889,0.018597908308991464
2003,7,Amnat Charoen,86.0,31.84315972,24.33152778,173.6208333,28.08734375,1.147048611,167.1201389,370624.0,23.204109825591434,37,6889,0.01858757123122086
2003,8,Amnat Charoen,21.0,31.87954861,24.24232639,337.2725694,28.0609375,1.544375,275.3951389,370787.0,5.663628983756173,37,6889,0.01857940003290299
2003,9,Amnat Charoen,24.0,31.17513889,23.70166667,396.8600694,27.43840278,1.173298611,275.8427083,370672.0,6.474726982345578,37,6889,0.018585164242241117
2003,10,Amnat Charoen,15.0,32.17513889,22.55722222,27.99652778,27.366180555,1.869166667,202.1604167,370781.0,4.04551473781019,37,6889,0.018579700685849597
2003,11,Amnat Charoen,3.0,32.29097222,20.37965278,0.140277778,26.3353125,1.2303125,135.9215278,370019.0,0.8107691767179523,37,6889,0.018617962861366577
2003,12,Amnat Charoen,5.0,29.38239583,17.16722222,0.0,23.274809025,2.152152778,90.171875,370630.0,1.3490543129266384,37,6889,0.018587270323503224
2003,1,Ang Thong,23.0,31.82730159,19.62460317,0.0,25.725952380000003,0.899047619,51.76507937,290165.0,7.92652456361036,15,13947,0.04806575569072769
2003,2,Ang Thong,11.0,34.36936508,22.19825397,10.04603175,28.283809525,0.670793651,42.83968254,289934.0,3.793966902812364,15,13947,0.04810405126684004
2003,3,Ang Thong,7.0,34.42634921,23.22222222,76.22698413,28.824285715,0.553650794,36.63650794,290250.0,2.411714039621016,15,13947,0.048051679586563305
2003,4,Ang Thong,11.0,37.11888889,25.41412698,31.38253968,31.266507935,0.914126984,32.05555556,290312.0,3.7890269778720826,15,13947,0.04804141750943812
2003,5,Ang Thong,10.0,35.68936508,25.33539683,98.11111111,30.512380955,1.378888889,28.52380952,290120.0,3.4468495794843514,15,13947,0.04807321108506825
2003,6,Ang Thong,32.0,34.10460317,24.56904762,136.4349206,29.336825395,1.091111111,31.11428571,290457.0,11.017121295062609,15,13947,0.04801743459444944
2003,7,Ang Thong,34.0,32.80698413,24.78396825,127.0714286,28.79547619,0.981269841,31.27301587,290220.0,11.715250499620977,15,13947,0.04805664668182758
