CCA_1,ID_1,ADM1_EN,LATITUDE,LONGITIDE,Month,Year,Population
37.0,1.0,Amnat Charoen,15.85851,104.62883,3,2008,369088.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,4,2008,369345.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,5,2008,369363.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,6,2008,369118.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,7,2008,368985.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,8,2008,368972.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,9,2008,369059.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,10,2008,369361.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,11,2008,369333.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,12,2008,369476.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,1,2009,369363.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,2,2009,369307.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,3,2009,369433.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,4,2009,369870.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,5,2009,369970.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,6,2009,369936.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,7,2009,369947.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,8,2009,370091.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,9,2009,370247.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,10,2009,370526.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,11,2009,370698.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,12,2009,370804.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,1,2010,370795.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,2,2010,370895.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,3,2010,370998.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,4,2010,371376.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,5,2010,371391.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,6,2010,371474.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,7,2010,371620.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,8,2010,371651.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,9,2010,371738.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,10,2010,372002.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,11,2010,372050.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,12,2010,372137.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,1,2011,372163.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,2,2011,372212.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,3,2011,372331.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,4,2011,372528.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,5,2011,371217.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,6,2011,371297.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,7,2011,371348.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,8,2011,371364.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,9,2011,371484.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,10,2011,371867.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,11,2011,372042.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,12,2011,372241.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,1,2012,372279.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,2,2012,372383.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,3,2012,372476.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,4,2012,372755.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,5,2012,372707.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,6,2012,372624.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,7,2012,372740.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,8,2012,372863.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,9,2012,373095.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,10,2012,373353.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,11,2012,373376.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,12,2012,373494.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,1,2013,373623.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,2,2013,373971.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,3,2013,374158.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,4,2013,374367.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,5,2013,374340.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,6,2013,374212.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,7,2013,374086.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,8,2013,374134.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,9,2013,374249.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,10,2013,374428.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,11,2013,374581.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,12,2013,374698.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,1,2014,374720.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,2,2014,374706.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,3,2014,374788.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,4,2014,375002.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,5,2014,375173.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,6,2014,375155.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,7,2014,375176.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,8,2014,375147.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,9,2014,375204.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,10,2014,375292.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,11,2014,375297.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,12,2014,375380.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,1,2015,375445.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,2,2015,375478.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,3,2015,375502.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,4,2015,375597.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,5,2015,375815.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,6,2015,375722.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,7,2015,375795.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,8,2015,375754.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,9,2015,375722.0
37.0,1.0,Amnat Charoen,15.85851,104.62883,10,2015,376263.0
