year,month,province,tmin
2024,1,Amnat Charoen,18.435220125786167
2024,2,Amnat Charoen,21.16163522012579
2024,3,Amnat Charoen,23.831446540880503
2024,4,Amnat Charoen,28.702515723270444
2024,5,Amnat Charoen,25.87358490566038
2024,6,Amnat Charoen,25.26037735849057
2024,7,Amnat Charoen,24.136477987421387
2024,8,Amnat Charoen,24.95660377358491
2024,9,Amnat Charoen,24.225786163522017
2024,10,Amnat Charoen,22.66729559748428
2024,11,Amnat Charoen,20.44842767295598
2024,12,Amnat Charoen,17.536477987421385
2024,1,Ang Thong,21.66136363636364
2024,2,Ang Thong,23.13636363636364
2024,3,Ang Thong,24.40909090909092
2024,4,Ang Thong,27.068181818181817
2024,5,Ang Thong,25.59545454545455
2024,6,Ang Thong,25.518181818181823
2024,7,Ang Thong,24.43863636363637
2024,8,Ang Thong,24.906818181818185
2024,9,Ang Thong,24.76136363636364
2024,10,Ang Thong,24.87954545454545
2024,11,Ang Thong,23.80454545454546
2024,12,Ang Thong,20.756818181818183
2024,1,Bangkok,23.3
2024,2,Bangkok,24.44210526315789
2024,3,Bangkok,25.80263157894737
2024,4,Bangkok,27.56578947368421
2024,5,Bangkok,26.26578947368421
2024,6,Bangkok,26.167105263157897
2024,7,Bangkok,25.313157894736843
2024,8,Bangkok,25.867105263157896
2024,9,Bangkok,25.178947368421053
2024,10,Bangkok,25.178947368421053
2024,11,Bangkok,24.76710526315789
2024,12,Bangkok,22.43026315789474
2024,1,Bueng Kan,15.556410256410258
2024,2,Bueng Kan,18.258461538461543
2024,3,Bueng Kan,20.11794871794872
2024,4,Bueng Kan,25.47435897435897
2024,5,Bueng Kan,25.27641025641026
2024,6,Bueng Kan,25.69794871794872
2024,7,Bueng Kan,25.690769230769234
2024,8,Bueng Kan,25.278974358974363
2024,9,Bueng Kan,23.8097435897436
2024,10,Bueng Kan,21.684615384615388
2024,11,Bueng Kan,18.57589743589744
2024,12,Bueng Kan,14.843076923076923
2024,1,Buri Ram,18.978099173553723
2024,2,Buri Ram,21.972933884297525
2024,3,Buri Ram,23.62334710743802
2024,4,Buri Ram,27.44917355371901
2024,5,Buri Ram,25.445867768595043
2024,6,Buri Ram,25.10289256198348
2024,7,Buri Ram,23.728099173553723
2024,8,Buri Ram,24.720247933884306
2024,9,Buri Ram,24.13657024793389
2024,10,Buri Ram,23.3603305785124
2024,11,Buri Ram,21.373140495867773
2024,12,Buri Ram,18.32252066115703
2024,1,Chachoengsao,22.498800000000003
2024,2,Chachoengsao,24.222800000000003
2024,3,Chachoengsao,25.07520000000001
2024,4,Chachoengsao,27.649600000000003
2024,5,Chachoengsao,26.105600000000003
2024,6,Chachoengsao,26.154400000000003
2024,7,Chachoengsao,25.028
2024,8,Chachoengsao,25.533200000000004
2024,9,Chachoengsao,24.8344
2024,10,Chachoengsao,24.4884
2024,11,Chachoengsao,23.309600000000003
2024,12,Chachoengsao,21.180000000000003
2024,1,Chai Nat,21.12881355932204
2024,2,Chai Nat,23.07796610169492
2024,3,Chai Nat,25.29406779661017
2024,4,Chai Nat,28.242372881355934
2024,5,Chai Nat,25.83474576271187
2024,6,Chai Nat,25.10254237288136
2024,7,Chai Nat,24.23305084745763
2024,8,Chai Nat,24.91610169491526
2024,9,Chai Nat,24.570338983050853
2024,10,Chai Nat,24.85847457627119
2024,11,Chai Nat,23.2864406779661
2024,12,Chai Nat,20.81779661016949
2024,1,Chaiyaphum,17.496422764227646
2024,2,Chaiyaphum,20.19121951219513
2024,3,Chaiyaphum,21.97235772357724
2024,4,Chaiyaphum,25.496097560975613
2024,5,Chaiyaphum,24.233008130081306
2024,6,Chaiyaphum,24.334634146341465
2024,7,Chaiyaphum,23.1959349593496
2024,8,Chaiyaphum,23.96829268292684
2024,9,Chaiyaphum,23.32959349593496
2024,10,Chaiyaphum,22.478373983739843
2024,11,Chaiyaphum,19.99560975609756
2024,12,Chaiyaphum,17.01056910569106
2024,1,Chanthaburi,21.726910299003325
2024,2,Chanthaburi,23.29069767441861
2024,3,Chanthaburi,24.23654485049834
2024,4,Chanthaburi,26.58172757475084
2024,5,Chanthaburi,25.48438538205981
2024,6,Chanthaburi,25.010299003322263
2024,7,Chanthaburi,24.258139534883725
2024,8,Chanthaburi,24.698338870431897
2024,9,Chanthaburi,24.140863787375416
2024,10,Chanthaburi,23.47308970099668
2024,11,Chanthaburi,22.730232558139537
2024,12,Chanthaburi,21.040199335548174
2024,1,Chiang Mai,13.425022914757106
2024,2,Chiang Mai,14.550045829514213
2024,3,Chiang Mai,18.16764436296976
2024,4,Chiang Mai,22.83263061411549
2024,5,Chiang Mai,22.57506874427132
2024,6,Chiang Mai,21.79844179651696
2024,7,Chiang Mai,21.67580201649863
2024,8,Chiang Mai,21.369752520623283
2024,9,Chiang Mai,21.33235563703025
2024,10,Chiang Mai,20.845921173235563
2024,11,Chiang Mai,17.24683776351971
2024,12,Chiang Mai,15.50229147571036
2024,1,Chiang Rai,14.589003436426118
2024,2,Chiang Rai,15.214432989690724
2024,3,Chiang Rai,18.77113402061856
2024,4,Chiang Rai,23.43505154639176
2024,5,Chiang Rai,23.389347079037805
2024,6,Chiang Rai,23.247766323024056
2024,7,Chiang Rai,23.28694158075601
2024,8,Chiang Rai,22.40670103092784
2024,9,Chiang Rai,22.48883161512028
2024,10,Chiang Rai,21.579896907216497
2024,11,Chiang Rai,17.892783505154643
