year,month,province,tmin
1971,8,Amnat Charoen,23.08559028
1971,9,Amnat Charoen,23.5934375
1971,10,Amnat Charoen,20.99989583
1971,11,Amnat Charoen,16.89947917
1971,12,Amnat Charoen,17.30166667
1972,1,Amnat Charoen,14.22236111
1972,2,Amnat Charoen,19.28756944
1972,3,Amnat Charoen,20.73232639
1972,4,Amnat Charoen,22.75184028
1972,5,Amnat Charoen,24.59163194
1972,6,Amnat Charoen,23.97038194
1972,7,Amnat Charoen,24.03826389
1972,8,Amnat Charoen,23.52010417
1972,9,Amnat Charoen,23.32690972
1972,10,Amnat Charoen,22.97576389
1972,11,Amnat Charoen,20.73545139
1972,12,Amnat Charoen,17.79322917
1973,1,Amnat Charoen,15.8965625
1973,2,Amnat Charoen,19.34451389
1973,3,Amnat Charoen,22.98708333
1973,4,Amnat Charoen,25.1590625
1973,5,Amnat Charoen,24.5990625
1973,6,Amnat Charoen,24.40270833
1973,7,Amnat Charoen,23.9825
1973,8,Amnat Charoen,23.79625
1973,9,Amnat Charoen,23.68638889
1973,10,Amnat Charoen,21.9071875
1973,11,Amnat Charoen,18.27788194
1973,12,Amnat Charoen,14.75184028
1974,1,Amnat Charoen,14.78104167
1974,2,Amnat Charoen,17.34048611
1974,3,Amnat Charoen,20.98322917
1974,4,Amnat Charoen,23.32677083
1974,5,Amnat Charoen,23.50711806
1974,6,Amnat Charoen,23.52711806
1974,7,Amnat Charoen,23.53159722
1974,8,Amnat Charoen,23.59621528
1974,9,Amnat Charoen,23.24920139
1974,10,Amnat Charoen,21.85951389
1974,11,Amnat Charoen,19.19899306
1974,12,Amnat Charoen,16.87902778
1975,1,Amnat Charoen,17.55659722
1975,2,Amnat Charoen,19.03857639
1975,3,Amnat Charoen,23.0146875
1975,4,Amnat Charoen,24.47270833
1975,5,Amnat Charoen,23.96670139
1975,6,Amnat Charoen,23.85003472
1975,7,Amnat Charoen,23.39270833
1975,8,Amnat Charoen,23.68190972
1975,9,Amnat Charoen,23.34631944
1975,10,Amnat Charoen,22.06295139
1975,11,Amnat Charoen,18.59645833
1975,12,Amnat Charoen,14.13802083
1976,1,Amnat Charoen,14.65913194
1976,2,Amnat Charoen,19.46572917
1976,3,Amnat Charoen,21.24055556
1976,4,Amnat Charoen,24.03961806
1976,5,Amnat Charoen,23.95541667
1976,6,Amnat Charoen,23.79569444
1976,7,Amnat Charoen,23.52236111
1976,8,Amnat Charoen,23.2440625
1976,9,Amnat Charoen,23.32854167
1976,10,Amnat Charoen,22.42635417
1976,11,Amnat Charoen,17.15715278
1976,12,Amnat Charoen,16.39732639
1977,1,Amnat Charoen,16.61743056
1977,2,Amnat Charoen,16.54135417
1977,3,Amnat Charoen,21.04930556
1977,4,Amnat Charoen,23.69270833
1977,5,Amnat Charoen,23.84850694
1977,6,Amnat Charoen,24.20253472
1977,7,Amnat Charoen,23.74229167
1977,8,Amnat Charoen,23.64496528
1977,9,Amnat Charoen,23.30940972
1977,10,Amnat Charoen,22.21631944
1977,11,Amnat Charoen,18.73989583
1977,12,Amnat Charoen,17.45277778
1978,1,Amnat Charoen,17.71628472
1978,2,Amnat Charoen,19.34253472
1978,3,Amnat Charoen,23.300625
1978,4,Amnat Charoen,24.15354167
1978,5,Amnat Charoen,24.13222222
1978,6,Amnat Charoen,24.30458333
1978,7,Amnat Charoen,23.59565972
1978,8,Amnat Charoen,23.69229167
1978,9,Amnat Charoen,23.44430556
1978,10,Amnat Charoen,21.50128472
1978,11,Amnat Charoen,19.15131944
1978,12,Amnat Charoen,16.97395833
1979,1,Amnat Charoen,18.33833333
1979,2,Amnat Charoen,19.84625
1979,3,Amnat Charoen,23.3709375
1979,4,Amnat Charoen,24.45760417
1979,5,Amnat Charoen,24.56784722
1979,6,Amnat Charoen,24.31618056
1979,7,Amnat Charoen,24.04097222
1979,8,Amnat Charoen,23.8859375
1979,9,Amnat Charoen,23.593125
1979,10,Amnat Charoen,20.52958333
1979,11,Amnat Charoen,18.02434028
1979,12,Amnat Charoen,16.25767361
1980,1,Amnat Charoen,15.59013889
1980,2,Amnat Charoen,18.67454861
1980,3,Amnat Charoen,23.15225694
1980,4,Amnat Charoen,24.74170139
1980,5,Amnat Charoen,24.54246528
1980,6,Amnat Charoen,23.95829861
1980,7,Amnat Charoen,24.01631944
1980,8,Amnat Charoen,23.278125
1980,9,Amnat Charoen,23.10239583
1980,10,Amnat Charoen,22.21538194
1980,11,Amnat Charoen,20.75291667
1980,12,Amnat Charoen,17.16927083
1981,1,Amnat Charoen,14.97690972
1981,2,Amnat Charoen,18.82246528
1981,3,Amnat Charoen,21.82
1981,4,Amnat Charoen,23.21663194
1981,5,Amnat Charoen,23.34125
1981,6,Amnat Charoen,23.31024306
1981,7,Amnat Charoen,23.19333333
1981,8,Amnat Charoen,23.31024306
1981,9,Amnat Charoen,23.18013889
1981,10,Amnat Charoen,21.89684028
1981,11,Amnat Charoen,19.67451389
1981,12,Amnat Charoen,15.0575
1982,1,Amnat Charoen,14.74197917
1982,2,Amnat Charoen,19.11194444
1982,3,Amnat Charoen,22.4884375
1982,4,Amnat Charoen,23.08909722
1982,5,Amnat Charoen,23.81565972
1982,6,Amnat Charoen,23.34375
1982,7,Amnat Charoen,23.16548611
1982,8,Amnat Charoen,22.90559028
1982,9,Amnat Charoen,22.80270833
1982,10,Amnat Charoen,22.14868056
1982,11,Amnat Charoen,20.72135417
1982,12,Amnat Charoen,14.60329861
1983,1,Amnat Charoen,15.20875
1983,2,Amnat Charoen,19.21208333
1983,3,Amnat Charoen,21.96097222
1983,4,Amnat Charoen,25.29989583
1983,5,Amnat Charoen,24.65319444
1983,6,Amnat Charoen,23.87979167
1983,7,Amnat Charoen,23.88635417
1983,8,Amnat Charoen,23.41
1983,9,Amnat Charoen,23.49638889
1983,10,Amnat Charoen,22.38753472
1983,11,Amnat Charoen,17.81236111
1983,12,Amnat Charoen,15.53993056
1984,1,Amnat Charoen,14.76208333
1984,2,Amnat Charoen,19.011875
1984,3,Amnat Charoen,21.63590278
1984,4,Amnat Charoen,24.71315972
1984,5,Amnat Charoen,23.55538194
1984,6,Amnat Charoen,23.43701389
1984,7,Amnat Charoen,22.8403125
1984,8,Amnat Charoen,23.19600694
1984,9,Amnat Charoen,22.68138889
1984,10,Amnat Charoen,20.9525
1984,11,Amnat Charoen,19.54204861
1984,12,Amnat Charoen,16.59076389
1985,1,Amnat Charoen,16.58944444
1985,2,Amnat Charoen,19.695625
1985,3,Amnat Charoen,21.68138889
1985,4,Amnat Charoen,23.49302083
1985,5,Amnat Charoen,23.18409722
1985,6,Amnat Charoen,23.5425
1985,7,Amnat Charoen,22.49138889
1985,8,Amnat Charoen,23.00340278
1985,9,Amnat Charoen,22.72871528
1985,10,Amnat Charoen,21.30527778
1985,11,Amnat Charoen,20.2046875
1985,12,Amnat Charoen,15.79607639
1986,1,Amnat Charoen,14.601875
1986,2,Amnat Charoen,18.37965278
1986,3,Amnat Charoen,20.34052083
1986,4,Amnat Charoen,23.43954861
1986,5,Amnat Charoen,23.72385417
1986,6,Amnat Charoen,23.70430556
1986,7,Amnat Charoen,23.44131944
1986,8,Amnat Charoen,23.19788194
1986,9,Amnat Charoen,22.83371528
1986,10,Amnat Charoen,21.911875
1986,11,Amnat Charoen,19.11618056
1986,12,Amnat Charoen,16.54065972
1987,1,Amnat Charoen,16.23017361
1987,2,Amnat Charoen,18.69423611
1987,3,Amnat Charoen,21.48774306
1987,4,Amnat Charoen,23.69753472
1987,5,Amnat Charoen,24.15923611
1987,6,Amnat Charoen,24.131875
1987,7,Amnat Charoen,24.24222222
1987,8,Amnat Charoen,23.61201389
1987,9,Amnat Charoen,23.24996528
1987,10,Amnat Charoen,22.42736111
1987,11,Amnat Charoen,21.15125
1987,12,Amnat Charoen,14.03041667
1988,1,Amnat Charoen,16.81725694
1988,2,Amnat Charoen,19.80246528
1988,3,Amnat Charoen,22.68552083
1988,4,Amnat Charoen,23.72482639
1988,5,Amnat Charoen,23.80989583
1988,6,Amnat Charoen,23.74375
1988,7,Amnat Charoen,23.26795139
1988,8,Amnat Charoen,22.99854167
1988,9,Amnat Charoen,22.95184028
1988,10,Amnat Charoen,21.56010417
1988,11,Amnat Charoen,17.90263889
1988,12,Amnat Charoen,15.82951389
1989,1,Amnat Charoen,17.67534722
1989,2,Amnat Charoen,17.99145833
1989,3,Amnat Charoen,21.22944444
1989,4,Amnat Charoen,24.54076389
1989,5,Amnat Charoen,23.79190972
1989,6,Amnat Charoen,23.43590278
1989,7,Amnat Charoen,23.79256944
1989,8,Amnat Charoen,23.32826389
1989,9,Amnat Charoen,23.3521875
1989,10,Amnat Charoen,21.91434028
1989,11,Amnat Charoen,19.00586806
1989,12,Amnat Charoen,15.33243056
1990,1,Amnat Charoen,17.92684028
1990,2,Amnat Charoen,19.2859375
1990,3,Amnat Charoen,21.98684028
1990,4,Amnat Charoen,24.12614583
1990,5,Amnat Charoen,23.43149306
1990,6,Amnat Charoen,24.07440972
1990,7,Amnat Charoen,23.50868056
1990,8,Amnat Charoen,23.34420139
1990,9,Amnat Charoen,23.13194444
1990,10,Amnat Charoen,22.13524306
1990,11,Amnat Charoen,19.79298611
1990,12,Amnat Charoen,16.82961806
1991,1,Amnat Charoen,18.54989583
1991,2,Amnat Charoen,18.42604167
1991,3,Amnat Charoen,23.80444444
1991,4,Amnat Charoen,24.70881944
1991,5,Amnat Charoen,24.40538194
1991,6,Amnat Charoen,24.52010417
1991,7,Amnat Charoen,24.29930556
1991,8,Amnat Charoen,23.69625
1991,9,Amnat Charoen,23.95892361
1991,10,Amnat Charoen,22.16267361
1991,11,Amnat Charoen,18.92065972
1991,12,Amnat Charoen,17.73138889
1992,1,Amnat Charoen,16.36923611
1992,2,Amnat Charoen,19.29423611
1992,3,Amnat Charoen,22.72270833
1992,4,Amnat Charoen,25.19267361
1992,5,Amnat Charoen,25.16201389
1992,6,Amnat Charoen,24.59454861
1992,7,Amnat Charoen,23.90305556
1992,8,Amnat Charoen,23.56201389
1992,9,Amnat Charoen,23.78697917
1992,10,Amnat Charoen,21.10430556
1992,11,Amnat Charoen,17.66149306
1992,12,Amnat Charoen,16.83472222
1993,1,Amnat Charoen,16.52201389
1993,2,Amnat Charoen,17.54333333
1993,3,Amnat Charoen,22.37125
1993,4,Amnat Charoen,24.29875
1993,5,Amnat Charoen,24.51663194
1993,6,Amnat Charoen,24.62055556
1993,7,Amnat Charoen,23.94951389
1993,8,Amnat Charoen,23.63496528
1993,9,Amnat Charoen,23.61041667
1993,10,Amnat Charoen,21.636875
1993,11,Amnat Charoen,18.87239583
1993,12,Amnat Charoen,16.33555556
1994,1,Amnat Charoen,16.76819444
1994,2,Amnat Charoen,20.87413194
1994,3,Amnat Charoen,21.69131944
1994,4,Amnat Charoen,24.75184028
1994,5,Amnat Charoen,24.76465278
1994,6,Amnat Charoen,24.19263889
1994,7,Amnat Charoen,24.14211806
1994,8,Amnat Charoen,23.66555556
1994,9,Amnat Charoen,23.71125
1994,10,Amnat Charoen,20.89104167
1994,11,Amnat Charoen,18.69006944
1994,12,Amnat Charoen,18.42211806
1995,1,Amnat Charoen,16.43680556
1995,2,Amnat Charoen,17.46670139
1995,3,Amnat Charoen,22.31850694
1995,4,Amnat Charoen,24.92069444
1995,5,Amnat Charoen,24.46645833
1995,6,Amnat Charoen,24.50395833
1995,7,Amnat Charoen,23.6459375
1995,8,Amnat Charoen,23.45826389
1995,9,Amnat Charoen,23.48725694
1995,10,Amnat Charoen,21.92690972
1995,11,Amnat Charoen,19.28763889
1995,12,Amnat Charoen,16.04711806
1996,1,Amnat Charoen,16.26340278
1996,2,Amnat Charoen,16.36895833
1996,3,Amnat Charoen,21.32017361
1996,4,Amnat Charoen,23.67461806
1996,5,Amnat Charoen,23.61368056
1996,6,Amnat Charoen,23.70840278
1996,7,Amnat Charoen,23.69666667
1996,8,Amnat Charoen,23.50069444
1996,9,Amnat Charoen,23.51125
1996,10,Amnat Charoen,22.11944444
1996,11,Amnat Charoen,20.44291667
1996,12,Amnat Charoen,16.09548611
1997,1,Amnat Charoen,15.76329861
1997,2,Amnat Charoen,18.84881944
1997,3,Amnat Charoen,21.40822917
1997,4,Amnat Charoen,22.90940972
1997,5,Amnat Charoen,24.0134375
1997,6,Amnat Charoen,24.44663194
1997,7,Amnat Charoen,24.05895833
1997,8,Amnat Charoen,23.78288194
1997,9,Amnat Charoen,23.32177083
1997,10,Amnat Charoen,22.75631944
1997,11,Amnat Charoen,20.01947917
1997,12,Amnat Charoen,18.60083333
1998,1,Amnat Charoen,18.20677083
1998,2,Amnat Charoen,20.6228125
1998,3,Amnat Charoen,23.67298611
1998,4,Amnat Charoen,24.60690972
1998,5,Amnat Charoen,24.90451389
1998,6,Amnat Charoen,24.61496528
1998,7,Amnat Charoen,24.07996528
1998,8,Amnat Charoen,23.59892361
1998,9,Amnat Charoen,23.78715278
1998,10,Amnat Charoen,22.12180556
1998,11,Amnat Charoen,19.8321875
1998,12,Amnat Charoen,18.07881944
1999,1,Amnat Charoen,17.16225694
1999,2,Amnat Charoen,18.41770833
1999,3,Amnat Charoen,22.72638889
1999,4,Amnat Charoen,23.63104167
1999,5,Amnat Charoen,23.76482639
1999,6,Amnat Charoen,23.43506944
1999,7,Amnat Charoen,23.94034722
1999,8,Amnat Charoen,23.80520833
1999,9,Amnat Charoen,23.51329861
1999,10,Amnat Charoen,22.29763889
1999,11,Amnat Charoen,20.00381944
1999,12,Amnat Charoen,15.12944444
2000,1,Amnat Charoen,17.39059028
2000,2,Amnat Charoen,17.52506944
2000,3,Amnat Charoen,21.63951389
2000,4,Amnat Charoen,23.87708333
2000,5,Amnat Charoen,24.08392361
2000,6,Amnat Charoen,23.740625
2000,7,Amnat Charoen,23.79753472
2000,8,Amnat Charoen,23.94788194
2000,9,Amnat Charoen,23.5521875
2000,10,Amnat Charoen,22.35836806
