year,month,province,tmax
2008,3,Amnat Charoen,34.78628472
2008,4,Amnat Charoen,35.34190972
2008,5,Amnat Charoen,32.23739583
2008,6,Amnat Charoen,31.46100694
2008,7,Amnat Charoen,31.495
2008,8,Amnat Charoen,31.07222222
2008,9,Amnat Charoen,30.57263889
2008,10,Amnat Charoen,31.90715278
2008,11,Amnat Charoen,29.38190972
2008,12,Amnat Charoen,28.74159722
2009,1,Amnat Charoen,28.88208333
2009,2,Amnat Charoen,33.63961806
2009,3,Amnat Charoen,34.5596875
2009,4,Amnat Charoen,35.18979167
2009,5,Amnat Charoen,33.31791667
2009,6,Amnat Charoen,31.86934028
2009,7,Amnat Charoen,31.19045139
2009,8,Amnat Charoen,31.76121528
2009,9,Amnat Charoen,31.33982639
2009,10,Amnat Charoen,32.10479167
2009,11,Amnat Charoen,30.87892361
2009,12,Amnat Charoen,31.46072917
2010,1,Amnat Charoen,30.95631944
2010,2,Amnat Charoen,33.78229167
2010,3,Amnat Charoen,36.16381944
2010,4,Amnat Charoen,36.93791667
2010,5,Amnat Charoen,35.35128472
2010,6,Amnat Charoen,33.45319444
2010,7,Amnat Charoen,31.86277778
2010,8,Amnat Charoen,30.83295139
2010,9,Amnat Charoen,31.58895833
2010,10,Amnat Charoen,30.86722222
2010,11,Amnat Charoen,30.58986111
2010,12,Amnat Charoen,30.80829861
2011,1,Amnat Charoen,29.76666667
2011,2,Amnat Charoen,32.168125
2011,3,Amnat Charoen,32.71975694
2011,4,Amnat Charoen,34.69920139
2011,5,Amnat Charoen,33.74923611
2011,6,Amnat Charoen,31.73510417
2011,7,Amnat Charoen,31.52055556
2011,8,Amnat Charoen,30.81934028
2011,9,Amnat Charoen,29.92100694
2011,10,Amnat Charoen,31.05673611
2011,11,Amnat Charoen,31.53680556
2011,12,Amnat Charoen,29.19815972
2012,1,Amnat Charoen,30.84743056
2012,2,Amnat Charoen,33.55892361
2012,3,Amnat Charoen,35.40763889
2012,4,Amnat Charoen,35.69545139
2012,5,Amnat Charoen,34.00670139
2012,6,Amnat Charoen,31.57125
2012,7,Amnat Charoen,31.29982639
2012,8,Amnat Charoen,31.22503472
2012,9,Amnat Charoen,31.05784722
2012,10,Amnat Charoen,32.57371528
2012,11,Amnat Charoen,32.3865625
2012,12,Amnat Charoen,32.31552083
2013,1,Amnat Charoen,30.92027778
2013,2,Amnat Charoen,34.09166667
2013,3,Amnat Charoen,35.59399306
2013,4,Amnat Charoen,36.22913194
2013,5,Amnat Charoen,34.390625
2013,6,Amnat Charoen,31.91996528
2013,7,Amnat Charoen,31.24472222
2013,8,Amnat Charoen,30.88736111
2013,9,Amnat Charoen,30.14517361
2013,10,Amnat Charoen,30.98704861
2013,11,Amnat Charoen,30.95461806
2013,12,Amnat Charoen,27.39027778
2014,1,Amnat Charoen,29.10986111
2014,2,Amnat Charoen,32.43402778
2014,3,Amnat Charoen,35.81673611
2014,4,Amnat Charoen,35.39920139
2014,5,Amnat Charoen,35.03635417
2014,6,Amnat Charoen,32.604375
2014,7,Amnat Charoen,31.23670139
2014,8,Amnat Charoen,31.244375
2014,9,Amnat Charoen,31.30194444
2014,10,Amnat Charoen,31.88045139
2014,11,Amnat Charoen,31.76458333
2014,12,Amnat Charoen,30.19111111
2015,1,Amnat Charoen,30.14979167
2015,2,Amnat Charoen,32.14944444
2015,3,Amnat Charoen,35.5975
2015,4,Amnat Charoen,35.74628472
2015,5,Amnat Charoen,35.6875
2015,6,Amnat Charoen,33.71899306
2015,7,Amnat Charoen,31.55909722
2015,8,Amnat Charoen,31.58232639
2015,9,Amnat Charoen,31.53777778
2015,10,Amnat Charoen,31.76038194
2015,11,Amnat Charoen,32.61833333
2015,12,Amnat Charoen,31.62027778
2016,1,Amnat Charoen,30.59270833
2016,2,Amnat Charoen,32.296875
2016,3,Amnat Charoen,36.30347222
2016,4,Amnat Charoen,38.34513889
2016,5,Amnat Charoen,35.68958333
2016,6,Amnat Charoen,32.32118056
2016,7,Amnat Charoen,31.81527778
2016,8,Amnat Charoen,30.97291667
2016,9,Amnat Charoen,31.28368056
2016,10,Amnat Charoen,31.66631944
2016,11,Amnat Charoen,31.66145833
2016,12,Amnat Charoen,30.36701389
2017,1,Amnat Charoen,30.87847222
2017,2,Amnat Charoen,32.87395833
2017,3,Amnat Charoen,34.83159722
2017,4,Amnat Charoen,34.97152778
2017,5,Amnat Charoen,33.28263889
2017,6,Amnat Charoen,32.11979167
2017,7,Amnat Charoen,30.22708333
2017,8,Amnat Charoen,31.49479167
2017,9,Amnat Charoen,31.97777778
2017,10,Amnat Charoen,31.50381944
2017,11,Amnat Charoen,30.65104167
2017,12,Amnat Charoen,29.54756944
2018,1,Amnat Charoen,30.54270833
2018,2,Amnat Charoen,31.58402778
2018,3,Amnat Charoen,34.40173611
2018,4,Amnat Charoen,34.359375
2018,5,Amnat Charoen,33.45868056
2018,6,Amnat Charoen,31.97986111
2018,7,Amnat Charoen,30.76493056
2018,8,Amnat Charoen,30.38819444
2018,9,Amnat Charoen,31.575
2018,10,Amnat Charoen,32.70381944
2018,11,Amnat Charoen,31.996875
2018,12,Amnat Charoen,31.70416667
2019,1,Amnat Charoen,32.55868056
2019,2,Amnat Charoen,35.89548611
2019,3,Amnat Charoen,37.21319444
2019,4,Amnat Charoen,37.54097222
2019,5,Amnat Charoen,34.95416667
2019,6,Amnat Charoen,34.14375
2019,7,Amnat Charoen,32.44479167
2019,8,Amnat Charoen,31.50798611
2019,9,Amnat Charoen,31.56388889
2019,10,Amnat Charoen,32.96979167
2019,11,Amnat Charoen,31.37604167
2019,12,Amnat Charoen,30.91354167
2020,1,Amnat Charoen,32.55243056
2020,2,Amnat Charoen,33.16041667
2020,3,Amnat Charoen,36.94826389
2020,4,Amnat Charoen,35.54791667
2020,5,Amnat Charoen,36.08125
2020,6,Amnat Charoen,33.38958333
2020,7,Amnat Charoen,32.903125
2020,8,Amnat Charoen,31.55833333
2020,9,Amnat Charoen,32.29166667
2020,10,Amnat Charoen,30.08402778
2020,11,Amnat Charoen,30.83715278
2020,12,Amnat Charoen,29.72881944
2021,1,Amnat Charoen,28.77152778
2021,2,Amnat Charoen,32.15208333
2021,3,Amnat Charoen,36.03854167
2021,4,Amnat Charoen,35.77222222
2021,5,Amnat Charoen,35.22222222
2021,6,Amnat Charoen,33.07430556
2021,7,Amnat Charoen,32.23055556
2021,8,Amnat Charoen,32.58368056
2021,9,Amnat Charoen,31.38472222
2021,10,Amnat Charoen,31.39618056
2021,11,Amnat Charoen,30.79444444
2021,12,Amnat Charoen,29.76875
2022,1,Amnat Charoen,31.95138889
2022,2,Amnat Charoen,31.66076389
2022,3,Amnat Charoen,35.64479167
2022,4,Amnat Charoen,33.73715278
2022,5,Amnat Charoen,32.45416667
2022,6,Amnat Charoen,33.10659722
2022,7,Amnat Charoen,32.09618056
2022,8,Amnat Charoen,31.47534722
2022,9,Amnat Charoen,31.21215278
2022,10,Amnat Charoen,30.79722222
2022,11,Amnat Charoen,32.51805556
2022,12,Amnat Charoen,29.53159722
2003,1,Ang Thong,31.82730159
2003,2,Ang Thong,34.36936508
2003,3,Ang Thong,34.42634921
2003,4,Ang Thong,37.11888889
2003,5,Ang Thong,35.68936508
2003,6,Ang Thong,34.10460317
2003,7,Ang Thong,32.80698413
2003,8,Ang Thong,33.06968254
2003,9,Ang Thong,32.15730159
2003,10,Ang Thong,32.56031746
2003,11,Ang Thong,33.72634921
2003,12,Ang Thong,31.10619048
2004,1,Ang Thong,32.88238095
2004,2,Ang Thong,32.79349206
2004,3,Ang Thong,36.19666667
2004,4,Ang Thong,37.72142857
2004,5,Ang Thong,34.85587302
2004,6,Ang Thong,33.56015873
2004,7,Ang Thong,33.21190476
2004,8,Ang Thong,32.77079365
2004,9,Ang Thong,32.35730159
2004,10,Ang Thong,32.25984127
2004,11,Ang Thong,33.28809524
2004,12,Ang Thong,31.48936508
2005,1,Ang Thong,32.31333333
2005,2,Ang Thong,35.55555556
2005,3,Ang Thong,35.22650794
2005,4,Ang Thong,36.52714286
2005,5,Ang Thong,36.03396825
2005,6,Ang Thong,34.16079365
2005,7,Ang Thong,33.23571429
2005,8,Ang Thong,33.06857143
2005,9,Ang Thong,32.10984127
2005,10,Ang Thong,32.46015873
2005,11,Ang Thong,31.72666667
2005,12,Ang Thong,29.69015873
2006,1,Ang Thong,32.42126984
2006,2,Ang Thong,33.90825397
2006,3,Ang Thong,35.09634921
2006,4,Ang Thong,35.59920635
2006,5,Ang Thong,33.49079365
2006,6,Ang Thong,33.4547619
2006,7,Ang Thong,32.33507937
2006,8,Ang Thong,31.95492063
2006,9,Ang Thong,31.65730159
2006,10,Ang Thong,31.96634921
2006,11,Ang Thong,33.04936508
2006,12,Ang Thong,30.95111111
2007,1,Ang Thong,31.73698413
2007,2,Ang Thong,34.06666667
2007,3,Ang Thong,35.58095238
2007,4,Ang Thong,35.77555556
2007,5,Ang Thong,33.37952381
2007,6,Ang Thong,34.19904762
2007,7,Ang Thong,32.72650794
2007,8,Ang Thong,32.26968254
2007,9,Ang Thong,31.78587302
2007,10,Ang Thong,30.98920635
2007,11,Ang Thong,30.22650794
2007,12,Ang Thong,31.97444444
