year,month,province,ppt
2014,10,Amnat Charoen,33.12465278
2014,11,Amnat Charoen,7.274305556
2014,12,Amnat Charoen,0.0
2015,1,Amnat Charoen,0.465972222
2015,2,Amnat Charoen,17.35069444
2015,3,Amnat Charoen,32.38472222
2015,4,Amnat Charoen,24.85
2015,5,Amnat Charoen,76.73611111
2015,6,Amnat Charoen,130.0170139
2015,7,Amnat Charoen,248.6628472
2015,8,Amnat Charoen,239.2135417
2015,9,Amnat Charoen,219.1572917
2015,10,Amnat Charoen,90.98993056
2015,11,Amnat Charoen,7.855555556
2015,12,Amnat Charoen,0.0
2016,1,Amnat Charoen,8.823263889
2016,2,Amnat Charoen,0.190972222
2016,3,Amnat Charoen,17.32326389
2016,4,Amnat Charoen,28.16666667
2016,5,Amnat Charoen,173.3336806
2016,6,Amnat Charoen,163.2302083
2016,7,Amnat Charoen,191.7017361
2016,8,Amnat Charoen,152.3267361
2016,9,Amnat Charoen,340.7579861
2016,10,Amnat Charoen,72.5625
2016,11,Amnat Charoen,33.06006944
2016,12,Amnat Charoen,2.052083333
2017,1,Amnat Charoen,0.920833333
2017,2,Amnat Charoen,4.304513889
2017,3,Amnat Charoen,65.19583333
2017,4,Amnat Charoen,102.309375
2017,5,Amnat Charoen,256.6444444
2017,6,Amnat Charoen,258.0798611
2017,7,Amnat Charoen,471.8444444
2017,8,Amnat Charoen,269.1895833
2017,9,Amnat Charoen,208.7444444
2017,10,Amnat Charoen,106.4545139
2017,11,Amnat Charoen,24.240625
2017,12,Amnat Charoen,2.795486111
2018,1,Amnat Charoen,0.294791667
2018,2,Amnat Charoen,8.355208333
2018,3,Amnat Charoen,76.66388889
2018,4,Amnat Charoen,106.0836806
2018,5,Amnat Charoen,160.4288194
2018,6,Amnat Charoen,244.9017361
2018,7,Amnat Charoen,274.9569444
2018,8,Amnat Charoen,325.2753472
2018,9,Amnat Charoen,194.2065972
2018,10,Amnat Charoen,52.08506944
2018,11,Amnat Charoen,8.623611111
2018,12,Amnat Charoen,1.149305556
2019,1,Amnat Charoen,0.019791667
2019,2,Amnat Charoen,4.588194444
2019,3,Amnat Charoen,14.88125
2019,4,Amnat Charoen,60.44965278
2019,5,Amnat Charoen,211.5864583
2019,6,Amnat Charoen,103.48125
2019,7,Amnat Charoen,211.4072917
2019,8,Amnat Charoen,554.8604167
2019,9,Amnat Charoen,390.3506944
2019,10,Amnat Charoen,38.20729167
2019,11,Amnat Charoen,9.794444444
2019,12,Amnat Charoen,0.045833333
2020,1,Amnat Charoen,4.019791667
2020,2,Amnat Charoen,0.735763889
2020,3,Amnat Charoen,22.29409722
2020,4,Amnat Charoen,45.20104167
2020,5,Amnat Charoen,162.165625
2020,6,Amnat Charoen,98.28541667
2020,7,Amnat Charoen,152.209375
2020,8,Amnat Charoen,312.2354167
2020,9,Amnat Charoen,305.5
2020,10,Amnat Charoen,344.3475694
2020,11,Amnat Charoen,10.06458333
2020,12,Amnat Charoen,0.061805556
2021,1,Amnat Charoen,0.0
2021,2,Amnat Charoen,10.89236111
2021,3,Amnat Charoen,14.32083333
2021,4,Amnat Charoen,91.70104167
2021,5,Amnat Charoen,109.0114583
2021,6,Amnat Charoen,160.2413194
2021,7,Amnat Charoen,308.9809028
2021,8,Amnat Charoen,142.51875
2021,9,Amnat Charoen,381.8291667
2021,10,Amnat Charoen,187.0104167
2021,11,Amnat Charoen,3.603125
2021,12,Amnat Charoen,0.713541667
2022,1,Amnat Charoen,2.318402778
2022,2,Amnat Charoen,22.73888889
2022,3,Amnat Charoen,67.665625
2022,4,Amnat Charoen,109.6458333
2022,5,Amnat Charoen,298.9135417
2022,6,Amnat Charoen,147.9333333
2022,7,Amnat Charoen,275.3336806
2022,8,Amnat Charoen,306.7090278
2022,9,Amnat Charoen,368.865625
2022,10,Amnat Charoen,120.1840278
2022,11,Amnat Charoen,29.67291667
2022,12,Amnat Charoen,0.007291667
2003,1,Ang Thong,0.0
2003,2,Ang Thong,10.04603175
2003,3,Ang Thong,76.22698413
2003,4,Ang Thong,31.38253968
2003,5,Ang Thong,98.11111111
2003,6,Ang Thong,136.4349206
2003,7,Ang Thong,127.0714286
2003,8,Ang Thong,112.5190476
2003,9,Ang Thong,224.4714286
2003,10,Ang Thong,113.3634921
2003,11,Ang Thong,0.0
2003,12,Ang Thong,0.0
2004,1,Ang Thong,18.73968254
2004,2,Ang Thong,22.80634921
2004,3,Ang Thong,4.457142857
2004,4,Ang Thong,39.22698413
2004,5,Ang Thong,81.3031746
2004,6,Ang Thong,93.91428571
2004,7,Ang Thong,116.8968254
2004,8,Ang Thong,104.447619
2004,9,Ang Thong,188.7873016
2004,10,Ang Thong,37.43015873
2004,11,Ang Thong,8.153968254
2004,12,Ang Thong,0.0
2005,1,Ang Thong,3.988888889
2005,2,Ang Thong,0.377777778
2005,3,Ang Thong,34.56666667
2005,4,Ang Thong,89.46190476
2005,5,Ang Thong,115.1301587
2005,6,Ang Thong,90.46666667
2005,7,Ang Thong,85.32857143
2005,8,Ang Thong,101.4619048
2005,9,Ang Thong,287.5793651
2005,10,Ang Thong,126.9619048
2005,11,Ang Thong,114.3809524
2005,12,Ang Thong,8.974603175
2006,1,Ang Thong,0.803174603
2006,2,Ang Thong,22.15396825
2006,3,Ang Thong,45.17301587
2006,4,Ang Thong,85.83333333
2006,5,Ang Thong,142.3301587
2006,6,Ang Thong,100.8507937
2006,7,Ang Thong,70.73968254
2006,8,Ang Thong,63.84920635
2006,9,Ang Thong,241.547619
2006,10,Ang Thong,171.2349206
2006,11,Ang Thong,14.94761905
2006,12,Ang Thong,0.396825397
2007,1,Ang Thong,5.550793651
2007,2,Ang Thong,0.7
2007,3,Ang Thong,7.83968254
2007,4,Ang Thong,95.82698413
2007,5,Ang Thong,221.8539683
2007,6,Ang Thong,113.8222222
2007,7,Ang Thong,105.9047619
2007,8,Ang Thong,64.65079365
2007,9,Ang Thong,143.531746
2007,10,Ang Thong,148.0079365
2007,11,Ang Thong,7.30952381
2007,12,Ang Thong,1.276190476
2008,1,Ang Thong,5.082539683
2008,2,Ang Thong,11.96984127
2008,3,Ang Thong,10.84285714
2008,4,Ang Thong,102.6904762
2008,5,Ang Thong,145.2428571
2008,6,Ang Thong,111.7428571
2008,7,Ang Thong,105.5809524
2008,8,Ang Thong,110.7396825
2008,9,Ang Thong,259.0349206
2008,10,Ang Thong,191.1571429
2008,11,Ang Thong,40.35555556
2008,12,Ang Thong,0.0
2009,1,Ang Thong,0.173015873
2009,2,Ang Thong,1.541269841
2009,3,Ang Thong,42.21904762
2009,4,Ang Thong,75.17619048
2009,5,Ang Thong,172.6873016
2009,6,Ang Thong,99.25238095
2009,7,Ang Thong,98.23015873
2009,8,Ang Thong,146.5460317
2009,9,Ang Thong,195.3238095
2009,10,Ang Thong,187.9650794
2009,11,Ang Thong,14.52380952
2009,12,Ang Thong,1.342857143
2010,1,Ang Thong,8.757142857
2010,2,Ang Thong,4.271428571
2010,3,Ang Thong,6.406349206
2010,4,Ang Thong,24.83809524
2010,5,Ang Thong,95.75555556
2010,6,Ang Thong,128.4952381
2010,7,Ang Thong,121.6269841
2010,8,Ang Thong,170.2793651
2010,9,Ang Thong,238.552381
2010,10,Ang Thong,221.8365079
2010,11,Ang Thong,3.419047619
2010,12,Ang Thong,7.96031746
2011,1,Ang Thong,0.544444444
2011,2,Ang Thong,14.83492063
2011,3,Ang Thong,81.57460317
2011,4,Ang Thong,121.0222222
2011,5,Ang Thong,177.1904762
2011,6,Ang Thong,136.8507937
2011,7,Ang Thong,187.915873
2011,8,Ang Thong,172.1365079
2011,9,Ang Thong,191.7349206
2011,10,Ang Thong,207.0396825
2011,11,Ang Thong,16.85396825
2011,12,Ang Thong,1.196825397
2012,1,Ang Thong,13.02222222
2012,2,Ang Thong,10.24603175
2012,3,Ang Thong,22.10634921
2012,4,Ang Thong,57.02222222
2012,5,Ang Thong,116.447619
2012,6,Ang Thong,63.76031746
2012,7,Ang Thong,105.6301587
2012,8,Ang Thong,87.05555556
2012,9,Ang Thong,297.952381
2012,10,Ang Thong,141.6650794
2012,11,Ang Thong,76.65714286
2012,12,Ang Thong,2.431746032
2013,1,Ang Thong,14.65714286
2013,2,Ang Thong,2.43968254
2013,3,Ang Thong,32.06507937
2013,4,Ang Thong,59.82857143
2013,5,Ang Thong,84.31587302
2013,6,Ang Thong,108.6952381
2013,7,Ang Thong,119.5333333
2013,8,Ang Thong,152.9603175
2013,9,Ang Thong,276.4253968
2013,10,Ang Thong,220.168254
2013,11,Ang Thong,45.13650794
2013,12,Ang Thong,1.979365079
2014,1,Ang Thong,0.0
2014,2,Ang Thong,1.361904762
2014,3,Ang Thong,28.40793651
2014,4,Ang Thong,29.76349206
2014,5,Ang Thong,84.34603175
2014,6,Ang Thong,88.37460317
2014,7,Ang Thong,77.80952381
2014,8,Ang Thong,164.2746032
2014,9,Ang Thong,164.3873016
2014,10,Ang Thong,140.0698413
2014,11,Ang Thong,23.49365079
2014,12,Ang Thong,8.387301587
2015,1,Ang Thong,3.933333333
2015,2,Ang Thong,10.00952381
2015,3,Ang Thong,35.53015873
2015,4,Ang Thong,41.62063492
2015,5,Ang Thong,44.75714286
2015,6,Ang Thong,63.11111111
2015,7,Ang Thong,100.1460317
2015,8,Ang Thong,120.4857143
2015,9,Ang Thong,234.1873016
2015,10,Ang Thong,170.0555556
2015,11,Ang Thong,41.33650794
2015,12,Ang Thong,15.96984127
2016,1,Ang Thong,7.828571429
2016,2,Ang Thong,0.446031746
2016,3,Ang Thong,12.92698413
2016,4,Ang Thong,20.51746032
2016,5,Ang Thong,95.55555556
2016,6,Ang Thong,88.42222222
2016,7,Ang Thong,99.43809524
2016,8,Ang Thong,122.2222222
2016,9,Ang Thong,216.8539683
2016,10,Ang Thong,249.7714286
2016,11,Ang Thong,111.0444444
2016,12,Ang Thong,1.028571429
2017,1,Ang Thong,21.92539683
2017,2,Ang Thong,10.45238095
2017,3,Ang Thong,49.76507937
2017,4,Ang Thong,45.28730159
2017,5,Ang Thong,261.7428571
2017,6,Ang Thong,140.8634921
2017,7,Ang Thong,100.1
2017,8,Ang Thong,163.1095238
2017,9,Ang Thong,244.3809524
2017,10,Ang Thong,200.5904762
2017,11,Ang Thong,40.15079365
2017,12,Ang Thong,19.94603175
2018,1,Ang Thong,8.442857143
2018,2,Ang Thong,17.67777778
2018,3,Ang Thong,27.91428571
2018,4,Ang Thong,117.2587302
2018,5,Ang Thong,105.2047619
2018,6,Ang Thong,81.62222222
2018,7,Ang Thong,107.8730159
2018,8,Ang Thong,124.1111111
2018,9,Ang Thong,153.7015873
2018,10,Ang Thong,130.9222222
2018,11,Ang Thong,29.63174603
2018,12,Ang Thong,8.063492063
2019,1,Ang Thong,12.4984127
2019,2,Ang Thong,8.30952381
2019,3,Ang Thong,9.49047619
2019,4,Ang Thong,57.90952381
2019,5,Ang Thong,134.4190476
2019,6,Ang Thong,89.84126984
2019,7,Ang Thong,66.77460317
2019,8,Ang Thong,183.7444444
2019,9,Ang Thong,174.1063492
2019,10,Ang Thong,95.8031746
2019,11,Ang Thong,18.3015873
2019,12,Ang Thong,0.247619048
2020,1,Ang Thong,1.434920635
2020,2,Ang Thong,0.646031746
2020,3,Ang Thong,38.85714286
2020,4,Ang Thong,25.57936508
2020,5,Ang Thong,55.58412698
2020,6,Ang Thong,91.05555556
2020,7,Ang Thong,96.19047619
2020,8,Ang Thong,108.068254
2020,9,Ang Thong,231.3888889
2020,10,Ang Thong,275.5920635
2020,11,Ang Thong,27.76666667
2020,12,Ang Thong,1.571428571
2021,1,Ang Thong,0.096825397
2021,2,Ang Thong,2.355555556
2021,3,Ang Thong,14.83015873
2021,4,Ang Thong,160.0650794
2021,5,Ang Thong,88.27460317
2021,6,Ang Thong,51.55238095
2021,7,Ang Thong,119.7968254
2021,8,Ang Thong,151.4920635
2021,9,Ang Thong,342.8412698
2021,10,Ang Thong,257.4968254
2021,11,Ang Thong,87.01587302
2021,12,Ang Thong,1.274603175
2022,1,Ang Thong,5.898412698
2022,2,Ang Thong,30.48571429
2022,3,Ang Thong,59.15555556
2022,4,Ang Thong,45.63015873
2022,5,Ang Thong,138.4222222
2022,6,Ang Thong,58.18888889
2022,7,Ang Thong,139.0857143
2022,8,Ang Thong,126.152381
2022,9,Ang Thong,265.9095238
2022,10,Ang Thong,122.4206349
2022,11,Ang Thong,92.50793651
2022,12,Ang Thong,1.093650794
2003,1,Bangkok,0.0
2003,2,Bangkok,18.79454545
2003,3,Bangkok,109.8072727
2003,4,Bangkok,33.68242424
2003,5,Bangkok,147.2509091
2003,6,Bangkok,184.1278788
2003,7,Bangkok,200.1945455
2003,8,Bangkok,160.7272727
2003,9,Bangkok,254.6333333
2003,10,Bangkok,154.2575758
2003,11,Bangkok,0.334545455
2003,12,Bangkok,0.0
2004,1,Bangkok,27.80909091
2004,2,Bangkok,41.92848485
2004,3,Bangkok,8.704242424
2004,4,Bangkok,54.10727273
2004,5,Bangkok,123.9836364
2004,6,Bangkok,132.3290909
2004,7,Bangkok,130.5218182
2004,8,Bangkok,140.870303
2004,9,Bangkok,222.1363636
2004,10,Bangkok,74.62545455
2004,11,Bangkok,9.919393939
2004,12,Bangkok,0.0
2005,1,Bangkok,10.57090909
2005,2,Bangkok,0.850909091
2005,3,Bangkok,44.50363636
2005,4,Bangkok,99.68424242
2005,5,Bangkok,154.8642424
2005,6,Bangkok,118.7569697
2005,7,Bangkok,100.3854545
2005,8,Bangkok,111.8781818
2005,9,Bangkok,343.2157576
2005,10,Bangkok,177.9290909
2005,11,Bangkok,110.8890909
2005,12,Bangkok,18.33515152
2006,1,Bangkok,3.158181818
2006,2,Bangkok,17.58060606
2006,3,Bangkok,68.32121212
2006,4,Bangkok,77.42121212
2006,5,Bangkok,207.0139394
2006,6,Bangkok,143.769697
2006,7,Bangkok,105.2539394
2006,8,Bangkok,92.04969697
2006,9,Bangkok,284.1006061
2006,10,Bangkok,225.6654545
2006,11,Bangkok,26.46060606
2006,12,Bangkok,0.545454545
2007,1,Bangkok,7.604848485
2007,2,Bangkok,1.753939394
2007,3,Bangkok,14.72060606
2007,4,Bangkok,128.7478788
2007,5,Bangkok,275.1187879
2007,6,Bangkok,179.2478788
2007,7,Bangkok,166.8690909
2007,8,Bangkok,91.90060606
2007,9,Bangkok,222.1145455
2007,10,Bangkok,157.7060606
2007,11,Bangkok,9.283636364
2007,12,Bangkok,0.729090909
2008,1,Bangkok,9.465454545
2008,2,Bangkok,27.55939394
2008,3,Bangkok,13.61575758
2008,4,Bangkok,108.1715152
2008,5,Bangkok,183.7042424
2008,6,Bangkok,153.7454545
2008,7,Bangkok,172.4369697
2008,8,Bangkok,133.9060606
2008,9,Bangkok,295.4587879
2008,10,Bangkok,253.3951515
2008,11,Bangkok,34.66424242
2008,12,Bangkok,0.0
2009,1,Bangkok,0.144848485
2009,2,Bangkok,2.113939394
2009,3,Bangkok,51.52787879
2009,4,Bangkok,105.4878788
2009,5,Bangkok,239.4181818
2009,6,Bangkok,145.6939394
2009,7,Bangkok,143.7787879
2009,8,Bangkok,193.0575758
2009,9,Bangkok,283.5872727
2009,10,Bangkok,218.3054545
2009,11,Bangkok,27.66121212
2009,12,Bangkok,4.22969697
2010,1,Bangkok,18.43818182
2010,2,Bangkok,12.15757576
2010,3,Bangkok,17.91878788
2010,4,Bangkok,35.89030303
2010,5,Bangkok,148.4878788
2010,6,Bangkok,175.3412121
2010,7,Bangkok,184.6975758
2010,8,Bangkok,286.0187879
2010,9,Bangkok,290.5169697
2010,10,Bangkok,270.7060606
2010,11,Bangkok,8.454545455
2010,12,Bangkok,13.73090909
2011,1,Bangkok,0.221212121
2011,2,Bangkok,14.92121212
2011,3,Bangkok,122.2151515
2011,4,Bangkok,120.329697
2011,5,Bangkok,202.1527273
2011,6,Bangkok,225.4806061
2011,7,Bangkok,251.64
2011,8,Bangkok,216.4430303
2011,9,Bangkok,237.9478788
2011,10,Bangkok,280.4951515
2011,11,Bangkok,13.18545455
2011,12,Bangkok,1.46969697
2012,1,Bangkok,24.01878788
2012,2,Bangkok,25.7969697
2012,3,Bangkok,34.56606061
2012,4,Bangkok,55.18666667
2012,5,Bangkok,142.4351515
2012,6,Bangkok,84.37090909
2012,7,Bangkok,148.9406061
2012,8,Bangkok,118.6151515
2012,9,Bangkok,400.2587879
2012,10,Bangkok,181.4539394
2012,11,Bangkok,94.16242424
2012,12,Bangkok,4.269090909
2013,1,Bangkok,26.64484848
2013,2,Bangkok,7.16
2013,3,Bangkok,38.31090909
2013,4,Bangkok,81.24909091
2013,5,Bangkok,98.87030303
2013,6,Bangkok,154.7618182
2013,7,Bangkok,160.0363636
2013,8,Bangkok,197.8048485
2013,9,Bangkok,337.1127273
2013,10,Bangkok,334.4878788
2013,11,Bangkok,66.50060606
2013,12,Bangkok,1.744242424
2014,1,Bangkok,0.0
2014,2,Bangkok,4.119393939
2014,3,Bangkok,47.95454545
2014,4,Bangkok,26.53333333
2014,5,Bangkok,95.05151515
2014,6,Bangkok,125.5412121
2014,7,Bangkok,99.11636364
2014,8,Bangkok,210.4048485
2014,9,Bangkok,223.5442424
2014,10,Bangkok,201.7684848
2014,11,Bangkok,31.40666667
2014,12,Bangkok,17.05393939
2015,1,Bangkok,4.548484848
2015,2,Bangkok,14.67090909
2015,3,Bangkok,38.23757576
2015,4,Bangkok,61.00727273
2015,5,Bangkok,68.7
2015,6,Bangkok,118.3678788
2015,7,Bangkok,137.069697
2015,8,Bangkok,168.3181818
2015,9,Bangkok,325.7133333
2015,10,Bangkok,235.0642424
2015,11,Bangkok,43.99151515
2015,12,Bangkok,25.23090909
2016,1,Bangkok,11.49878788
2016,2,Bangkok,0.936363636
2016,3,Bangkok,25.92909091
2016,4,Bangkok,28.41090909
2016,5,Bangkok,98.61636364
2016,6,Bangkok,123.0393939
2016,7,Bangkok,140.2593939
2016,8,Bangkok,153.6872727
2016,9,Bangkok,278.129697
2016,10,Bangkok,318.2545455
2016,11,Bangkok,87.70787879
2016,12,Bangkok,2.165454545
2017,1,Bangkok,35.75818182
2017,2,Bangkok,17.62727273
2017,3,Bangkok,69.96727273
2017,4,Bangkok,47.74363636
2017,5,Bangkok,371.5175758
2017,6,Bangkok,179.130303
2017,7,Bangkok,146.2593939
2017,8,Bangkok,204.9121212
2017,9,Bangkok,310.7018182
2017,10,Bangkok,230.5115152
2017,11,Bangkok,50.87636364
2017,12,Bangkok,23.55212121
2018,1,Bangkok,16.83818182
2018,2,Bangkok,22.45333333
2018,3,Bangkok,50.00424242
2018,4,Bangkok,141.3654545
2018,5,Bangkok,120.2121212
2018,6,Bangkok,112.5278788
2018,7,Bangkok,147.8363636
2018,8,Bangkok,170.6048485
2018,9,Bangkok,210.4418182
2018,10,Bangkok,206.1351515
2018,11,Bangkok,34.08181818
2018,12,Bangkok,11.06424242
2019,1,Bangkok,9.463030303
2019,2,Bangkok,11.33757576
2019,3,Bangkok,30.54666667
2019,4,Bangkok,34.5430303
2019,5,Bangkok,129.8757576
2019,6,Bangkok,133.9915152
2019,7,Bangkok,96.7
2019,8,Bangkok,216.1575758
2019,9,Bangkok,290.4412121
2019,10,Bangkok,118.9921212
2019,11,Bangkok,16.32909091
