year,month,province,vpd
2003,1,Chon Buri,1.2707619047619048
2003,2,Chon Buri,1.2173333333333334
2003,3,Chon Buri,1.2293333333333334
2003,4,Chon Buri,1.343952380952381
2003,5,Chon Buri,1.113047619047619
2003,6,Chon Buri,1.125095238095238
2003,7,Chon Buri,0.9566666666666668
2003,8,Chon Buri,0.968952380952381
2003,9,Chon Buri,0.8175714285714286
2003,10,Chon Buri,0.8904761904761904
2003,11,Chon Buri,1.2896190476190477
2003,12,Chon Buri,1.301761904761905
2003,1,Chumphon,1.165944055944056
2003,2,Chumphon,1.2699650349650349
2003,3,Chumphon,1.3793356643356645
2003,4,Chumphon,1.291013986013986
2003,5,Chumphon,0.96986013986014
2003,6,Chumphon,0.9343006993006991
2003,7,Chumphon,0.8028321678321679
2003,8,Chumphon,0.7705594405594406
2003,9,Chumphon,0.764965034965035
2003,10,Chumphon,0.669965034965035
2003,11,Chumphon,0.9818181818181818
2003,12,Chumphon,1.0145104895104895
2003,1,Kalasin,1.3191964285714286
2003,2,Kalasin,1.530595238095238
2003,3,Kalasin,1.6932142857142856
2003,4,Kalasin,1.916934523809524
2003,5,Kalasin,1.4395238095238096
2003,6,Kalasin,1.1342857142857143
2003,7,Kalasin,0.9967559523809524
2003,8,Kalasin,0.9189285714285714
2003,9,Kalasin,0.8049404761904763
2003,10,Kalasin,1.1162202380952382
2003,11,Kalasin,1.3485416666666667
2003,12,Kalasin,1.179672619047619
2003,1,Kamphaeng Phet,1.207494033412888
2003,2,Kamphaeng Phet,1.655894988066826
2003,3,Kamphaeng Phet,1.748305489260143
2003,4,Kamphaeng Phet,1.954510739856802
2003,5,Kamphaeng Phet,1.3430787589498807
2003,6,Kamphaeng Phet,0.9600238663484488
2003,7,Kamphaeng Phet,0.8670405727923628
2003,8,Kamphaeng Phet,0.7909785202863963
2003,9,Kamphaeng Phet,0.7539618138424822
2003,10,Kamphaeng Phet,0.8434844868735084
2003,11,Kamphaeng Phet,1.162840095465394
2003,12,Kamphaeng Phet,1.161527446300716
2003,1,Kanchanaburi,1.268110992529349
2003,2,Kanchanaburi,1.5997545357524012
2003,3,Kanchanaburi,1.7039167556029882
2003,4,Kanchanaburi,1.8017182497331912
2003,5,Kanchanaburi,1.239178228388474
2003,6,Kanchanaburi,0.9338847385272144
2003,7,Kanchanaburi,0.7621237993596585
2003,8,Kanchanaburi,0.7654322305229456
2003,9,Kanchanaburi,0.7811953041622198
2003,10,Kanchanaburi,0.8726254002134471
2003,11,Kanchanaburi,1.2269370330843117
2003,12,Kanchanaburi,1.223351120597652
2003,1,Khon Kaen,1.2753846153846156
2003,2,Khon Kaen,1.6568076923076922
2003,3,Khon Kaen,1.836365384615385
2003,4,Khon Kaen,2.040673076923077
2003,5,Khon Kaen,1.558576923076923
2003,6,Khon Kaen,1.2227115384615386
2003,7,Khon Kaen,1.1212307692307693
2003,8,Khon Kaen,1.003384615384615
2003,9,Khon Kaen,0.8287307692307693
2003,10,Khon Kaen,1.017519230769231
2003,11,Khon Kaen,1.3406923076923078
2003,12,Khon Kaen,1.1700576923076922
2003,1,Krabi,1.152595744680851
2003,2,Krabi,1.3114893617021277
2003,3,Krabi,1.3508510638297873
2003,4,Krabi,1.2011489361702128
2003,5,Krabi,0.9606382978723405
2003,6,Krabi,0.9015744680851064
2003,7,Krabi,0.8040851063829788
2003,8,Krabi,0.784595744680851
2003,9,Krabi,0.7376170212765958
2003,10,Krabi,0.6820851063829788
2003,11,Krabi,0.876936170212766
2003,12,Krabi,0.947063829787234
2003,1,Lampang,0.9887438825448612
2003,2,Lampang,1.5399673735725938
2003,3,Lampang,1.8370473083197392
2003,4,Lampang,2.0813376835236546
2003,5,Lampang,1.38047308319739
2003,6,Lampang,1.0106362153344208
2003,7,Lampang,0.9622022838499183
2003,8,Lampang,0.8600163132137032
2003,9,Lampang,0.8166884176182708
2003,10,Lampang,0.8594453507340947
2003,11,Lampang,1.085252854812398
2003,12,Lampang,0.9594779771615009
2003,1,Lamphun,1.0075113122171946
2003,2,Lamphun,1.5020814479638007
2003,3,Lamphun,1.8767873303167424
2003,4,Lamphun,2.165022624434389
2003,5,Lamphun,1.380316742081448
2003,6,Lamphun,0.976787330316742
