year,month,province,tmax
2024,5,Chon Buri,34.163809523809526
2024,6,Chon Buri,33.57619047619048
2024,7,Chon Buri,31.856666666666666
2024,8,Chon Buri,32.48809523809524
2024,9,Chon Buri,31.972857142857144
2024,10,Chon Buri,32.01714285714286
2024,11,Chon Buri,32.64809523809524
2024,12,Chon Buri,31.57238095238095
2024,1,Chumphon,32.76223776223776
2024,2,Chumphon,33.73706293706294
2024,3,Chumphon,34.85104895104895
2024,4,Chumphon,36.093006993007
2024,5,Chumphon,34.60874125874126
2024,6,Chumphon,32.31293706293706
2024,7,Chumphon,31.353146853146853
2024,8,Chumphon,31.681118881118884
2024,9,Chumphon,31.291258741258737
2024,10,Chumphon,31.454545454545453
2024,11,Chumphon,31.41223776223776
2024,12,Chumphon,30.91223776223776
2024,1,Kalasin,31.678571428571427
2024,2,Kalasin,34.230357142857144
2024,3,Kalasin,35.1610119047619
2024,4,Kalasin,39.1889880952381
2024,5,Kalasin,35.256547619047616
2024,6,Kalasin,33.78154761904762
2024,7,Kalasin,32.00952380952381
2024,8,Kalasin,32.29047619047619
2024,9,Kalasin,31.64464285714286
2024,10,Kalasin,32.21458333333334
2024,11,Kalasin,32.043452380952374
2024,12,Kalasin,29.93839285714285
2024,1,Kamphaeng Phet,32.85083532219571
2024,2,Kamphaeng Phet,35.199761336515515
2024,3,Kamphaeng Phet,36.50071599045346
2024,4,Kamphaeng Phet,38.86443914081146
2024,5,Kamphaeng Phet,35.15751789976134
2024,6,Kamphaeng Phet,32.98305489260143
2024,7,Kamphaeng Phet,31.91813842482101
2024,8,Kamphaeng Phet,31.9692124105012
2024,9,Kamphaeng Phet,31.94128878281623
2024,10,Kamphaeng Phet,32.29212410501193
2024,11,Kamphaeng Phet,32.12147971360382
2024,12,Kamphaeng Phet,31.64248210023866
2024,1,Kanchanaburi,32.605442902881535
2024,2,Kanchanaburi,34.53372465314835
2024,3,Kanchanaburi,36.21547491995731
2024,4,Kanchanaburi,37.59391675560299
2024,5,Kanchanaburi,34.30992529348986
2024,6,Kanchanaburi,31.74343649946638
2024,7,Kanchanaburi,30.58665955176094
2024,8,Kanchanaburi,31.108431163287086
2024,9,Kanchanaburi,31.219743863393813
2024,10,Kanchanaburi,31.68986125933831
2024,11,Kanchanaburi,31.51259338313768
2024,12,Kanchanaburi,31.03778014941302
2024,1,Khon Kaen,31.41865384615385
2024,2,Khon Kaen,34.597115384615385
2024,3,Khon Kaen,35.74692307692308
2024,4,Khon Kaen,39.04288461538462
2024,5,Khon Kaen,35.25615384615385
2024,6,Khon Kaen,34.18634615384616
2024,7,Khon Kaen,31.754423076923075
2024,8,Khon Kaen,32.340384615384615
2024,9,Khon Kaen,31.814615384615383
2024,10,Khon Kaen,31.79307692307692
2024,11,Khon Kaen,31.65903846153846
2024,12,Khon Kaen,29.576538461538465
2024,1,Krabi,33.40808510638298
2024,2,Krabi,34.87234042553192
2024,3,Krabi,35.6995744680851
2024,4,Krabi,36.460851063829786
2024,5,Krabi,34.79063829787234
2024,6,Krabi,33.11531914893617
2024,7,Krabi,32.329361702127656
2024,8,Krabi,32.26765957446809
2024,9,Krabi,31.657021276595746
2024,10,Krabi,31.655744680851065
2024,11,Krabi,31.32595744680852
2024,12,Krabi,31.442553191489363
2024,1,Lampang,31.048287112561173
2024,2,Lampang,33.62626427406199
2024,3,Lampang,36.11957585644372
2024,4,Lampang,38.51027732463296
2024,5,Lampang,34.581729200652525
2024,6,Lampang,32.363132137030995
2024,7,Lampang,31.35774877650897
2024,8,Lampang,31.142088091354
2024,9,Lampang,31.243393148450245
2024,10,Lampang,31.6699836867863
2024,11,Lampang,31.01190864600326
2024,12,Lampang,30.18597063621533
2024,1,Lamphun,30.56199095022624
2024,2,Lamphun,32.94027149321267
2024,3,Lamphun,35.983257918552034
2024,4,Lamphun,38.82217194570136
2024,5,Lamphun,34.368325791855206
2024,6,Lamphun,31.840723981900453
2024,7,Lamphun,30.869683257918552
2024,8,Lamphun,30.718552036199096
2024,9,Lamphun,30.82262443438914
2024,10,Lamphun,31.5054298642534
2024,11,Lamphun,30.67511312217195
2024,12,Lamphun,30.116742081447963
2024,1,Loei,30.926487523992325
2024,2,Loei,33.69232245681382
2024,3,Loei,35.02264875239923
2024,4,Loei,37.70921305182343
2024,5,Loei,34.0573896353167
2024,6,Loei,32.66506717850288
2024,7,Loei,30.961420345489444
2024,8,Loei,31.24030710172745
2024,9,Loei,30.87792706333973
2024,10,Loei,31.30537428023033
2024,11,Loei,30.611708253358927
2024,12,Loei,28.86468330134357
2024,1,Lop Buri,33.20188679245283
2024,2,Lop Buri,35.53270440251572
2024,3,Lop Buri,36.70660377358491
2024,4,Lop Buri,38.86729559748428
2024,5,Lop Buri,35.83270440251572
2024,6,Lop Buri,34.84685534591195
2024,7,Lop Buri,32.67735849056604
2024,8,Lop Buri,33.00220125786163
2024,9,Lop Buri,32.34748427672956
2024,10,Lop Buri,32.66069182389937
2024,11,Lop Buri,32.68993710691824
2024,12,Lop Buri,31.3251572327044
2024,1,Mae Hong Son,29.23724247226625
2024,2,Mae Hong Son,32.32361331220285
2024,3,Mae Hong Son,35.21030110935024
2024,4,Mae Hong Son,37.68431061806657
2024,5,Mae Hong Son,33.73502377179081
2024,6,Mae Hong Son,30.619175911251983
2024,7,Mae Hong Son,29.455467511885896
2024,8,Mae Hong Son,29.487797147385105
2024,9,Mae Hong Son,29.64469096671949
2024,10,Mae Hong Son,30.44405705229794
2024,11,Mae Hong Son,29.619175911251983
2024,12,Mae Hong Son,29.44611727416799
2024,1,Maha Sarakham,31.773529411764702
2024,2,Maha Sarakham,34.962500000000006
2024,3,Maha Sarakham,35.97095588235294
2024,4,Maha Sarakham,39.809926470588245
2024,5,Maha Sarakham,35.87720588235294
2024,6,Maha Sarakham,34.673529411764704
2024,7,Maha Sarakham,32.33676470588235
2024,8,Maha Sarakham,32.90882352941177
2024,9,Maha Sarakham,32.01948529411764
2024,10,Maha Sarakham,32.01948529411764
2024,11,Maha Sarakham,31.977573529411764
2024,12,Maha Sarakham,29.913602941176475
2024,1,Mukdahan,31.47363184079602
2024,2,Mukdahan,34.47213930348259
2024,3,Mukdahan,35.82885572139303
2024,4,Mukdahan,39.81641791044777
2024,5,Mukdahan,35.145273631840794
2024,6,Mukdahan,32.82786069651741
2024,7,Mukdahan,31.438308457711443
2024,8,Mukdahan,31.99353233830845
2024,9,Mukdahan,31.394029850746268
2024,10,Mukdahan,31.90248756218905
