year,month,province,tmin
2014,9,Amnat Charoen,23.95284722
2014,10,Amnat Charoen,22.63493056
2014,11,Amnat Charoen,20.93541667
2014,12,Amnat Charoen,17.723125
2015,1,Amnat Charoen,15.56336806
2015,2,Amnat Charoen,18.75479167
2015,3,Amnat Charoen,23.35006944
2015,4,Amnat Charoen,24.08625
2015,5,Amnat Charoen,25.27315972
2015,6,Amnat Charoen,24.85697917
2015,7,Amnat Charoen,24.54222222
2015,8,Amnat Charoen,23.94954861
2015,9,Amnat Charoen,24.20565972
2015,10,Amnat Charoen,22.58979167
2015,11,Amnat Charoen,21.55878472
2015,12,Amnat Charoen,19.3296875
2016,1,Amnat Charoen,17.92326389
2016,2,Amnat Charoen,17.52986111
2016,3,Amnat Charoen,22.89548611
2016,4,Amnat Charoen,25.65451389
2016,5,Amnat Charoen,25.56701389
2016,6,Amnat Charoen,24.33611111
2016,7,Amnat Charoen,24.66666667
2016,8,Amnat Charoen,23.81354167
2016,9,Amnat Charoen,24.46006944
2016,10,Amnat Charoen,22.93958333
2016,11,Amnat Charoen,21.43611111
2016,12,Amnat Charoen,18.809375
2017,1,Amnat Charoen,18.92638889
2017,2,Amnat Charoen,18.29756944
2017,3,Amnat Charoen,22.71597222
2017,4,Amnat Charoen,23.90486111
2017,5,Amnat Charoen,24.39791667
2017,6,Amnat Charoen,24.25347222
2017,7,Amnat Charoen,23.98993056
2017,8,Amnat Charoen,24.04756944
2017,9,Amnat Charoen,24.23784722
2017,10,Amnat Charoen,22.50625
2017,11,Amnat Charoen,20.52083333
2017,12,Amnat Charoen,17.803125
2018,1,Amnat Charoen,18.17326389
2018,2,Amnat Charoen,18.28263889
2018,3,Amnat Charoen,22.63680556
2018,4,Amnat Charoen,23.68541667
2018,5,Amnat Charoen,23.89756944
2018,6,Amnat Charoen,24.21284722
2018,7,Amnat Charoen,24.11493056
2018,8,Amnat Charoen,23.74722222
2018,9,Amnat Charoen,23.74791667
2018,10,Amnat Charoen,22.52291667
2018,11,Amnat Charoen,20.68888889
2018,12,Amnat Charoen,19.62222222
2019,1,Amnat Charoen,18.32361111
2019,2,Amnat Charoen,21.97777778
2019,3,Amnat Charoen,24.15520833
2019,4,Amnat Charoen,25.98263889
2019,5,Amnat Charoen,25.19305556
2019,6,Amnat Charoen,26.025
2019,7,Amnat Charoen,24.81770833
2019,8,Amnat Charoen,24.04375
2019,9,Amnat Charoen,24.04409722
2019,10,Amnat Charoen,23.85868056
2019,11,Amnat Charoen,20.49479167
2019,12,Amnat Charoen,18.04027778
2020,1,Amnat Charoen,18.45
2020,2,Amnat Charoen,19.31423611
2020,3,Amnat Charoen,23.934375
