year,month,province,ws
2014,8,Amnat Charoen,1.298854167
2014,9,Amnat Charoen,1.2928125
2014,10,Amnat Charoen,1.227152778
2014,11,Amnat Charoen,0.885104167
2014,12,Amnat Charoen,2.726006944
2015,1,Amnat Charoen,1.953020833
2015,2,Amnat Charoen,1.320104167
2015,3,Amnat Charoen,1.566284722
2015,4,Amnat Charoen,2.270694444
2015,5,Amnat Charoen,2.076458333
2015,6,Amnat Charoen,1.698888889
2015,7,Amnat Charoen,1.775520833
2015,8,Amnat Charoen,1.198368056
2015,9,Amnat Charoen,1.596597222
2015,10,Amnat Charoen,1.037430556
2015,11,Amnat Charoen,0.789895833
2015,12,Amnat Charoen,1.593923611
2016,1,Amnat Charoen,1.349340278
2016,2,Amnat Charoen,3.405173611
2016,3,Amnat Charoen,2.194652778
2016,4,Amnat Charoen,2.125104167
2016,5,Amnat Charoen,1.751701389
2016,6,Amnat Charoen,1.391111111
2016,7,Amnat Charoen,1.523958333
2016,8,Amnat Charoen,1.942048611
2016,9,Amnat Charoen,1.472083333
2016,10,Amnat Charoen,0.875798611
2016,11,Amnat Charoen,1.430451389
2016,12,Amnat Charoen,2.382638889
2017,1,Amnat Charoen,2.500972222
2017,2,Amnat Charoen,2.436111111
2017,3,Amnat Charoen,1.343506944
2017,4,Amnat Charoen,1.789826389
2017,5,Amnat Charoen,1.1596875
2017,6,Amnat Charoen,1.528506944
2017,7,Amnat Charoen,1.667395833
2017,8,Amnat Charoen,1.175034722
2017,9,Amnat Charoen,1.128993056
2017,10,Amnat Charoen,1.571944444
2017,11,Amnat Charoen,2.398576389
2017,12,Amnat Charoen,2.851909722
2018,1,Amnat Charoen,1.732638889
2018,2,Amnat Charoen,2.0875
2018,3,Amnat Charoen,1.454861111
2018,4,Amnat Charoen,1.810416667
2018,5,Amnat Charoen,0.422222222
2018,6,Amnat Charoen,1.596875
2018,7,Amnat Charoen,2.135763889
2018,8,Amnat Charoen,2.060763889
2018,9,Amnat Charoen,0.689236111
2018,10,Amnat Charoen,1.452083333
2018,11,Amnat Charoen,0.988541667
2018,12,Amnat Charoen,1.984027778
2019,1,Amnat Charoen,1.941666667
2019,2,Amnat Charoen,0.040972222
2019,3,Amnat Charoen,1.234027778
2019,4,Amnat Charoen,1.607291667
2019,5,Amnat Charoen,1.779166667
2019,6,Amnat Charoen,1.628125
2019,7,Amnat Charoen,1.710763889
2019,8,Amnat Charoen,2.196875
2019,9,Amnat Charoen,0.949652778
2019,10,Amnat Charoen,1.057986111
2019,11,Amnat Charoen,1.338194444
2019,12,Amnat Charoen,1.353472222
2020,1,Amnat Charoen,1.215277778
2020,2,Amnat Charoen,2.097569444
2020,3,Amnat Charoen,1.111805556
2020,4,Amnat Charoen,2.050347222
2020,5,Amnat Charoen,1.343055556
2020,6,Amnat Charoen,1.468055556
2020,7,Amnat Charoen,0.955902778
2020,8,Amnat Charoen,1.473263889
2020,9,Amnat Charoen,1.056944444
2020,10,Amnat Charoen,1.9625
2020,11,Amnat Charoen,1.904861111
2020,12,Amnat Charoen,2.365625
2021,1,Amnat Charoen,2.543402778
2021,2,Amnat Charoen,1.719097222
2021,3,Amnat Charoen,1.361805556
2021,4,Amnat Charoen,1.185069444
2021,5,Amnat Charoen,1.081944444
2021,6,Amnat Charoen,2.005555556
2021,7,Amnat Charoen,1.819444444
2021,8,Amnat Charoen,1.471875
2021,9,Amnat Charoen,1.109027778
2021,10,Amnat Charoen,1.594791667
2021,11,Amnat Charoen,1.883680556
2021,12,Amnat Charoen,2.307291667
2022,1,Amnat Charoen,1.121875
2022,2,Amnat Charoen,2.303125
2022,3,Amnat Charoen,1.271875
2022,4,Amnat Charoen,2.339236111
2022,5,Amnat Charoen,1.89375
2022,6,Amnat Charoen,1.311458333
2022,7,Amnat Charoen,1.013541667
2022,8,Amnat Charoen,1.313888889
2022,9,Amnat Charoen,1.169444444
2022,10,Amnat Charoen,2.127777778
2022,11,Amnat Charoen,0.477430556
2022,12,Amnat Charoen,2.718402778
2003,1,Ang Thong,0.899047619
2003,2,Ang Thong,0.670793651
2003,3,Ang Thong,0.553650794
2003,4,Ang Thong,0.914126984
2003,5,Ang Thong,1.378888889
2003,6,Ang Thong,1.091111111
2003,7,Ang Thong,0.981269841
2003,8,Ang Thong,1.217301587
2003,9,Ang Thong,0.996825397
2003,10,Ang Thong,1.13015873
2003,11,Ang Thong,0.548888889
2003,12,Ang Thong,1.371428571
2004,1,Ang Thong,0.553968254
2004,2,Ang Thong,1.17968254
2004,3,Ang Thong,1.386190476
2004,4,Ang Thong,1.137301587
2004,5,Ang Thong,1.263174603
2004,6,Ang Thong,1.290634921
2004,7,Ang Thong,1.085714286
2004,8,Ang Thong,1.388412698
2004,9,Ang Thong,0.840952381
2004,10,Ang Thong,1.267619048
2004,11,Ang Thong,1.005555556
2004,12,Ang Thong,0.97031746
2005,1,Ang Thong,0.677619048
2005,2,Ang Thong,0.974444444
2005,3,Ang Thong,1.313015873
2005,4,Ang Thong,0.899047619
2005,5,Ang Thong,1.126507937
2005,6,Ang Thong,1.514761905
2005,7,Ang Thong,1.298253968
2005,8,Ang Thong,1.318412698
2005,9,Ang Thong,0.881904762
2005,10,Ang Thong,0.95015873
2005,11,Ang Thong,0.426825397
2005,12,Ang Thong,1.511269841
2006,1,Ang Thong,0.882380952
2006,2,Ang Thong,0.842857143
2006,3,Ang Thong,0.999365079
2006,4,Ang Thong,0.86
2006,5,Ang Thong,0.907142857
2006,6,Ang Thong,0.866507937
2006,7,Ang Thong,1.637619048
2006,8,Ang Thong,1.590952381
2006,9,Ang Thong,0.68984127
2006,10,Ang Thong,0.781428571
2006,11,Ang Thong,0.243015873
2006,12,Ang Thong,1.191746032
2007,1,Ang Thong,1.183174603
2007,2,Ang Thong,0.920793651
2007,3,Ang Thong,1.118571429
2007,4,Ang Thong,0.645079365
2007,5,Ang Thong,0.802222222
2007,6,Ang Thong,0.618095238
2007,7,Ang Thong,1.145555556
2007,8,Ang Thong,1.208412698
2007,9,Ang Thong,0.674126984
2007,10,Ang Thong,1.341904762
2007,11,Ang Thong,1.246190476
2007,12,Ang Thong,0.772380952
2008,1,Ang Thong,0.977460317
2008,2,Ang Thong,0.927936508
2008,3,Ang Thong,0.946666667
2008,4,Ang Thong,0.648571429
2008,5,Ang Thong,1.232539683
2008,6,Ang Thong,1.084920635
2008,7,Ang Thong,1.25015873
2008,8,Ang Thong,0.887460317
2008,9,Ang Thong,1.073333333
2008,10,Ang Thong,0.519047619
2008,11,Ang Thong,1.271746032
2008,12,Ang Thong,1.172063492
2009,1,Ang Thong,1.235396825
2009,2,Ang Thong,0.687142857
2009,3,Ang Thong,0.669365079
2009,4,Ang Thong,1.038730159
2009,5,Ang Thong,0.644126984
2009,6,Ang Thong,1.61968254
2009,7,Ang Thong,1.566190476
2009,8,Ang Thong,0.846349206
2009,9,Ang Thong,1.020793651
2009,10,Ang Thong,0.31968254
2009,11,Ang Thong,0.862539683
2009,12,Ang Thong,0.396825397
2010,1,Ang Thong,0.368253968
2010,2,Ang Thong,0.809365079
2010,3,Ang Thong,1.091904762
2010,4,Ang Thong,1.201587302
2010,5,Ang Thong,1.201904762
2010,6,Ang Thong,0.888730159
2010,7,Ang Thong,0.799365079
2010,8,Ang Thong,0.60984127
2010,9,Ang Thong,0.601746032
2010,10,Ang Thong,0.901746032
2010,11,Ang Thong,1.025555556
2010,12,Ang Thong,0.835873016
2011,1,Ang Thong,1.284126984
2011,2,Ang Thong,0.56031746
2011,3,Ang Thong,1.185873016
2011,4,Ang Thong,0.423492063
2011,5,Ang Thong,0.688253968
2011,6,Ang Thong,1.272539683
2011,7,Ang Thong,1.339365079
2011,8,Ang Thong,0.923333333
2011,9,Ang Thong,1.232063492
2011,10,Ang Thong,0.831428571
2011,11,Ang Thong,0.712539683
2011,12,Ang Thong,1.559365079
2012,1,Ang Thong,0.543650794
2012,2,Ang Thong,0.566507937
2012,3,Ang Thong,0.659047619
2012,4,Ang Thong,0.922698413
2012,5,Ang Thong,1.123015873
2012,6,Ang Thong,1.59984127
2012,7,Ang Thong,1.351746032
2012,8,Ang Thong,1.347619048
2012,9,Ang Thong,0.760793651
2012,10,Ang Thong,0.552857143
2012,11,Ang Thong,0.0
2012,12,Ang Thong,0.359206349
2013,1,Ang Thong,0.55984127
2013,2,Ang Thong,0.606984127
2013,3,Ang Thong,0.855238095
2013,4,Ang Thong,1.061904762
2013,5,Ang Thong,1.003650794
2013,6,Ang Thong,0.677142857
2013,7,Ang Thong,1.115238095
2013,8,Ang Thong,1.082063492
2013,9,Ang Thong,0.895396825
2013,10,Ang Thong,0.724920635
2013,11,Ang Thong,0.808253968
2013,12,Ang Thong,1.13015873
2014,1,Ang Thong,1.163809524
2014,2,Ang Thong,0.943333333
2014,3,Ang Thong,0.878730159
2014,4,Ang Thong,0.866031746
2014,5,Ang Thong,0.960952381
2014,6,Ang Thong,1.409365079
2014,7,Ang Thong,1.257619048
2014,8,Ang Thong,0.653174603
2014,9,Ang Thong,0.929365079
2014,10,Ang Thong,0.687936508
2014,11,Ang Thong,0.263174603
2014,12,Ang Thong,1.45968254
2015,1,Ang Thong,0.925238095
2015,2,Ang Thong,1.007142857
2015,3,Ang Thong,1.030634921
2015,4,Ang Thong,0.964761905
2015,5,Ang Thong,1.343968254
2015,6,Ang Thong,1.241746032
2015,7,Ang Thong,1.809206349
2015,8,Ang Thong,1.043809524
2015,9,Ang Thong,1.127619048
2015,10,Ang Thong,0.608888889
2015,11,Ang Thong,0.263809524
2015,12,Ang Thong,0.603809524
2016,1,Ang Thong,0.88952381
2016,2,Ang Thong,1.685396825
2016,3,Ang Thong,1.33952381
2016,4,Ang Thong,1.729206349
2016,5,Ang Thong,1.195079365
2016,6,Ang Thong,1.026349206
2016,7,Ang Thong,0.815555556
2016,8,Ang Thong,1.158888889
2016,9,Ang Thong,0.811111111
2016,10,Ang Thong,0.385238095
2016,11,Ang Thong,0.476666667
2016,12,Ang Thong,1.477301587
2017,1,Ang Thong,1.187777778
2017,2,Ang Thong,1.10015873
2017,3,Ang Thong,0.953492063
2017,4,Ang Thong,1.134603175
2017,5,Ang Thong,0.65
2017,6,Ang Thong,0.969206349
2017,7,Ang Thong,1.163492063
2017,8,Ang Thong,0.772539683
2017,9,Ang Thong,0.757142857
2017,10,Ang Thong,0.700952381
2017,11,Ang Thong,0.981428571
2017,12,Ang Thong,1.604603175
2018,1,Ang Thong,0.495238095
2018,2,Ang Thong,0.698412698
2018,3,Ang Thong,0.196825397
2018,4,Ang Thong,0.19047619
2018,5,Ang Thong,0.0
2018,6,Ang Thong,0.817460317
2018,7,Ang Thong,1.276190476
2018,8,Ang Thong,1.103174603
2018,9,Ang Thong,0.184126984
2018,10,Ang Thong,0.611111111
2018,11,Ang Thong,0.280952381
2018,12,Ang Thong,1.114285714
2019,1,Ang Thong,1.082539683
2019,2,Ang Thong,0.946031746
2019,3,Ang Thong,1.49047619
2019,4,Ang Thong,1.285714286
2019,5,Ang Thong,0.649206349
2019,6,Ang Thong,0.836507937
2019,7,Ang Thong,1.193650794
2019,8,Ang Thong,1.336507937
2019,9,Ang Thong,0.0
2019,10,Ang Thong,0.765079365
2019,11,Ang Thong,0.598412698
2019,12,Ang Thong,0.484126984
2020,1,Ang Thong,0.414285714
2020,2,Ang Thong,0.953968254
2020,3,Ang Thong,1.384126984
2020,4,Ang Thong,1.219047619
2020,5,Ang Thong,1.13015873
2020,6,Ang Thong,1.047619048
2020,7,Ang Thong,0.866666667
2020,8,Ang Thong,1.098412698
2020,9,Ang Thong,0.934920635
2020,10,Ang Thong,0.828571429
2020,11,Ang Thong,1.03968254
2020,12,Ang Thong,1.219047619
2021,1,Ang Thong,1.249206349
2021,2,Ang Thong,0.707936508
2021,3,Ang Thong,0.995238095
2021,4,Ang Thong,0.220634921
2021,5,Ang Thong,0.815873016
2021,6,Ang Thong,1.53015873
2021,7,Ang Thong,1.188888889
2021,8,Ang Thong,0.93968254
2021,9,Ang Thong,0.768253968
2021,10,Ang Thong,0.696825397
2021,11,Ang Thong,0.66984127
2021,12,Ang Thong,1.122222222
2022,1,Ang Thong,0.33968254
2022,2,Ang Thong,0.798412698
2022,3,Ang Thong,0.315873016
2022,4,Ang Thong,1.06031746
2022,5,Ang Thong,1.165079365
2022,6,Ang Thong,0.882539683
2022,7,Ang Thong,0.89047619
2022,8,Ang Thong,0.844444444
2022,9,Ang Thong,0.523809524
2022,10,Ang Thong,1.182539683
2022,11,Ang Thong,0.19047619
2022,12,Ang Thong,1.176190476
2003,1,Bangkok,1.589757576
2003,2,Bangkok,1.412666667
2003,3,Bangkok,1.126969697
2003,4,Bangkok,1.381090909
2003,5,Bangkok,1.742848485
2003,6,Bangkok,1.320909091
2003,7,Bangkok,1.472666667
2003,8,Bangkok,1.740121212
2003,9,Bangkok,1.382363636
2003,10,Bangkok,1.537575758
2003,11,Bangkok,1.185575758
2003,12,Bangkok,1.994484848
2004,1,Bangkok,1.240909091
2004,2,Bangkok,1.855636364
2004,3,Bangkok,1.784121212
2004,4,Bangkok,1.595333333
2004,5,Bangkok,1.612606061
2004,6,Bangkok,1.554242424
2004,7,Bangkok,1.537818182
2004,8,Bangkok,1.836848485
2004,9,Bangkok,1.182727273
2004,10,Bangkok,1.655575758
2004,11,Bangkok,1.488909091
2004,12,Bangkok,1.599636364
2005,1,Bangkok,1.370484848
2005,2,Bangkok,1.588606061
2005,3,Bangkok,1.680424242
2005,4,Bangkok,1.388666667
2005,5,Bangkok,1.429515152
2005,6,Bangkok,1.782909091
2005,7,Bangkok,1.733636364
2005,8,Bangkok,1.688727273
2005,9,Bangkok,1.393393939
2005,10,Bangkok,1.368666667
2005,11,Bangkok,1.075151515
2005,12,Bangkok,2.131212121
2006,1,Bangkok,1.546545455
2006,2,Bangkok,1.407878788
2006,3,Bangkok,1.381878788
2006,4,Bangkok,1.265818182
2006,5,Bangkok,1.268121212
2006,6,Bangkok,1.182787879
2006,7,Bangkok,2.098666667
2006,8,Bangkok,2.120363636
2006,9,Bangkok,1.218424242
2006,10,Bangkok,1.343515152
2006,11,Bangkok,0.912121212
2006,12,Bangkok,1.854121212
2007,1,Bangkok,1.870545455
2007,2,Bangkok,1.719757576
2007,3,Bangkok,1.58430303
2007,4,Bangkok,1.256606061
2007,5,Bangkok,1.334909091
2007,6,Bangkok,1.077212121
2007,7,Bangkok,1.734424242
2007,8,Bangkok,1.866363636
2007,9,Bangkok,1.234909091
2007,10,Bangkok,1.888545455
2007,11,Bangkok,1.869272727
2007,12,Bangkok,1.498
2008,1,Bangkok,1.694121212
2008,2,Bangkok,1.536545455
2008,3,Bangkok,1.525454545
2008,4,Bangkok,1.181090909
2008,5,Bangkok,1.687030303
2008,6,Bangkok,1.473575758
2008,7,Bangkok,1.654848485
2008,8,Bangkok,1.453636364
2008,9,Bangkok,1.613636364
2008,10,Bangkok,1.05969697
2008,11,Bangkok,2.039636364
2008,12,Bangkok,1.961333333
2009,1,Bangkok,1.942666667
2009,2,Bangkok,1.434787879
2009,3,Bangkok,1.296424242
2009,4,Bangkok,1.640181818
2009,5,Bangkok,1.168121212
2009,6,Bangkok,2.026363636
2009,7,Bangkok,2.138484848
2009,8,Bangkok,1.446848485
2009,9,Bangkok,1.681878788
2009,10,Bangkok,0.968242424
2009,11,Bangkok,1.560242424
2009,12,Bangkok,1.105878788
2010,1,Bangkok,1.123212121
2010,2,Bangkok,1.71030303
2010,3,Bangkok,1.729818182
2010,4,Bangkok,1.657818182
2010,5,Bangkok,1.492484848
2010,6,Bangkok,1.220969697
2010,7,Bangkok,1.311454545
2010,8,Bangkok,1.194121212
2010,9,Bangkok,1.040545455
