year,month,province,ws
1971,9,Amnat Charoen,0.937048611
1971,10,Amnat Charoen,2.113923611
1971,11,Amnat Charoen,2.913506944
1971,12,Amnat Charoen,2.366423611
1972,1,Amnat Charoen,1.080798611
1972,2,Amnat Charoen,0.939791667
1972,3,Amnat Charoen,1.0425
1972,4,Amnat Charoen,1.4903125
1972,5,Amnat Charoen,1.808159722
1972,6,Amnat Charoen,1.310833333
1972,7,Amnat Charoen,1.699270833
1972,8,Amnat Charoen,1.721423611
1972,9,Amnat Charoen,0.683090278
1972,10,Amnat Charoen,0.350347222
1972,11,Amnat Charoen,0.943368056
1972,12,Amnat Charoen,1.290173611
1973,1,Amnat Charoen,0.942395833
1973,2,Amnat Charoen,0.972673611
1973,3,Amnat Charoen,1.590729167
1973,4,Amnat Charoen,1.880798611
1973,5,Amnat Charoen,1.197048611
1973,6,Amnat Charoen,1.437152778
1973,7,Amnat Charoen,1.371944444
1973,8,Amnat Charoen,1.337465278
1973,9,Amnat Charoen,0.871701389
1973,10,Amnat Charoen,2.056145833
1973,11,Amnat Charoen,0.889965278
1973,12,Amnat Charoen,0.975729167
1974,1,Amnat Charoen,0.942395833
1974,2,Amnat Charoen,0.972673611
1974,3,Amnat Charoen,1.590729167
1974,4,Amnat Charoen,1.880798611
1974,5,Amnat Charoen,1.197048611
1974,6,Amnat Charoen,1.437152778
1974,7,Amnat Charoen,1.371944444
1974,8,Amnat Charoen,1.337465278
1974,9,Amnat Charoen,0.871701389
1974,10,Amnat Charoen,2.056145833
1974,11,Amnat Charoen,2.640451389
1974,12,Amnat Charoen,3.147361111
1975,1,Amnat Charoen,0.730902778
1975,2,Amnat Charoen,2.634375
1975,3,Amnat Charoen,1.632916667
1975,4,Amnat Charoen,1.444826389
1975,5,Amnat Charoen,1.224027778
1975,6,Amnat Charoen,1.919895833
1975,7,Amnat Charoen,1.272604167
1975,8,Amnat Charoen,1.737569444
1975,9,Amnat Charoen,0.919201389
1975,10,Amnat Charoen,0.711458333
1975,11,Amnat Charoen,1.747951389
1975,12,Amnat Charoen,1.740451389
1976,1,Amnat Charoen,1.9878125
1976,2,Amnat Charoen,1.073958333
1976,3,Amnat Charoen,1.011979167
1976,4,Amnat Charoen,1.358368056
1976,5,Amnat Charoen,1.034965278
1976,6,Amnat Charoen,1.288506944
1976,7,Amnat Charoen,0.690069444
1976,8,Amnat Charoen,1.370208333
1976,9,Amnat Charoen,0.643263889
1976,10,Amnat Charoen,0.787604167
1976,11,Amnat Charoen,1.287430556
1976,12,Amnat Charoen,2.445347222
1977,1,Amnat Charoen,1.342986111
1977,2,Amnat Charoen,0.802708333
1977,3,Amnat Charoen,1.542743056
1977,4,Amnat Charoen,1.539201389
1977,5,Amnat Charoen,2.042256944
1977,6,Amnat Charoen,1.603888889
1977,7,Amnat Charoen,1.265868056
1977,8,Amnat Charoen,1.091597222
1977,9,Amnat Charoen,0.541527778
1977,10,Amnat Charoen,0.262569444
1977,11,Amnat Charoen,2.020069444
1977,12,Amnat Charoen,0.633368056
1978,1,Amnat Charoen,1.043263889
1978,2,Amnat Charoen,2.591805556
1978,3,Amnat Charoen,2.199618056
1978,4,Amnat Charoen,1.206354167
1978,5,Amnat Charoen,1.4775
1978,6,Amnat Charoen,1.193333333
