year,month,province,ws
2023,1,Chon Buri,2.3604761904761906
2023,2,Chon Buri,1.7561904761904763
2023,3,Chon Buri,1.7104761904761905
2023,4,Chon Buri,1.6523809523809525
2023,5,Chon Buri,1.3166666666666669
2023,6,Chon Buri,1.658095238095238
2023,7,Chon Buri,1.9342857142857144
2023,8,Chon Buri,1.873809523809524
2023,9,Chon Buri,1.6161904761904764
2023,10,Chon Buri,1.1423809523809525
2023,11,Chon Buri,1.3966666666666667
2023,12,Chon Buri,1.7176190476190476
2023,1,Chumphon,2.2213286713286715
2023,2,Chumphon,1.841608391608392
2023,3,Chumphon,1.4132867132867133
2023,4,Chumphon,1.4730769230769232
2023,5,Chumphon,1.8569930069930072
2023,6,Chumphon,1.2888111888111888
2023,7,Chumphon,1.7195804195804196
2023,8,Chumphon,1.6517482517482518
2023,9,Chumphon,1.5423076923076924
2023,10,Chumphon,1.0524475524475525
2023,11,Chumphon,1.1594405594405597
2023,12,Chumphon,1.581118881118881
2023,1,Kalasin,2.0699404761904763
2023,2,Kalasin,1.9372023809523808
2023,3,Kalasin,1.941369047619048
2023,4,Kalasin,1.868154761904762
2023,5,Kalasin,1.5782738095238098
2023,6,Kalasin,1.536309523809524
2023,7,Kalasin,1.343154761904762
2023,8,Kalasin,1.6979166666666667
2023,9,Kalasin,1.3074404761904763
2023,10,Kalasin,1.369047619047619
2023,11,Kalasin,1.5770833333333332
2023,12,Kalasin,1.9324404761904763
2023,1,Kamphaeng Phet,0.9789976133651552
2023,2,Kamphaeng Phet,1.1458233890214795
2023,3,Kamphaeng Phet,1.1162291169451073
2023,4,Kamphaeng Phet,1.173985680190931
2023,5,Kamphaeng Phet,1.3126491646778042
2023,6,Kamphaeng Phet,1.2324582338902148
2023,7,Kamphaeng Phet,1.5742243436754175
2023,8,Kamphaeng Phet,1.2859188544152744
2023,9,Kamphaeng Phet,1.0479713603818617
2023,10,Kamphaeng Phet,0.6976133651551313
2023,11,Kamphaeng Phet,0.8343675417661098
2023,12,Kamphaeng Phet,0.979236276849642
2023,1,Kanchanaburi,1.2607257203842048
2023,2,Kanchanaburi,1.047812166488794
2023,3,Kanchanaburi,1.2318036286019212
2023,4,Kanchanaburi,1.1229455709711846
2023,5,Kanchanaburi,1.448239060832444
2023,6,Kanchanaburi,1.0722518676627537
2023,7,Kanchanaburi,1.4173959445037354
2023,8,Kanchanaburi,1.2924226254002134
2023,9,Kanchanaburi,1.014727854855923
2023,10,Kanchanaburi,0.6616862326574173
