year,month,province,tmax
2023,6,Chon Buri,33.46476190476191
2023,7,Chon Buri,32.654761904761905
2023,8,Chon Buri,33.013333333333335
2023,9,Chon Buri,32.230000000000004
2023,10,Chon Buri,32.205238095238094
2023,11,Chon Buri,32.266666666666666
2023,12,Chon Buri,32.86904761904762
2023,1,Chumphon,31.652447552447555
2023,2,Chumphon,32.85454545454545
2023,3,Chumphon,33.84965034965035
2023,4,Chumphon,35.213986013986016
2023,5,Chumphon,34.49020979020979
2023,6,Chumphon,31.83041958041958
2023,7,Chumphon,31.58041958041958
2023,8,Chumphon,31.543706293706293
2023,9,Chumphon,31.149300699300703
2023,10,Chumphon,31.34370629370629
2023,11,Chumphon,31.17622377622377
2023,12,Chumphon,31.78111888111888
2023,1,Kalasin,29.19761904761905
2023,2,Kalasin,32.76636904761905
2023,3,Kalasin,34.64404761904762
2023,4,Kalasin,37.596428571428575
2023,5,Kalasin,35.78958333333333
2023,6,Kalasin,33.43511904761905
2023,7,Kalasin,32.86934523809524
2023,8,Kalasin,32.113392857142856
2023,9,Kalasin,31.246130952380955
2023,10,Kalasin,32.52529761904762
2023,11,Kalasin,32.28839285714286
2023,12,Kalasin,31.405059523809523
2023,1,Kamphaeng Phet,31.05560859188544
2023,2,Kamphaeng Phet,33.57040572792363
2023,3,Kamphaeng Phet,35.19069212410501
2023,4,Kamphaeng Phet,37.822434367541774
2023,5,Kamphaeng Phet,35.55155131264917
2023,6,Kamphaeng Phet,33.72052505966587
2023,7,Kamphaeng Phet,32.85680190930788
2023,8,Kamphaeng Phet,32.2164677804296
2023,9,Kamphaeng Phet,31.74343675417661
2023,10,Kamphaeng Phet,32.02243436754176
2023,11,Kamphaeng Phet,32.46276849642005
2023,12,Kamphaeng Phet,32.51718377088306
2023,1,Kanchanaburi,30.90885805763073
2023,2,Kanchanaburi,33.122518676627536
2023,3,Kanchanaburi,34.71184631803629
2023,4,Kanchanaburi,36.7110992529349
2023,5,Kanchanaburi,34.497118463180364
2023,6,Kanchanaburi,31.87620064034152
2023,7,Kanchanaburi,31.225506937033085
2023,8,Kanchanaburi,30.88185699039488
2023,9,Kanchanaburi,31.03906083244397
2023,10,Kanchanaburi,31.38356456776948
2023,11,Kanchanaburi,31.32315901814301
2023,12,Kanchanaburi,31.88185699039488
2023,1,Khon Kaen,29.232692307692307
2023,2,Khon Kaen,32.90788461538461
2023,3,Khon Kaen,34.94326923076923
2023,4,Khon Kaen,37.85134615384616
2023,5,Khon Kaen,35.71865384615385
2023,6,Khon Kaen,33.62461538461538
2023,7,Khon Kaen,33.10134615384616
2023,8,Khon Kaen,32.62576923076924
2023,9,Khon Kaen,31.530192307692303
2023,10,Khon Kaen,31.99942307692308
2023,11,Khon Kaen,31.89307692307693
2023,12,Khon Kaen,31.18673076923077
2023,1,Krabi,31.829361702127663
2023,2,Krabi,33.32
2023,3,Krabi,34.28765957446809
2023,4,Krabi,35.34382978723404
2023,5,Krabi,33.95914893617021
2023,6,Krabi,32.71787234042553
2023,7,Krabi,32.40340425531915
2023,8,Krabi,32.32595744680851
2023,9,Krabi,31.58595744680851
2023,10,Krabi,31.78936170212766
2023,11,Krabi,31.179574468085107
2023,12,Krabi,32.12851063829787
2023,1,Lampang,29.38662316476346
2023,2,Lampang,32.79951060358891
2023,3,Lampang,34.908972267536704
2023,4,Lampang,37.637030995106045
2023,5,Lampang,34.89804241435563
2023,6,Lampang,33.09657422512235
2023,7,Lampang,32.26884176182708
2023,8,Lampang,31.531484502446983
2023,9,Lampang,31.229200652528547
2023,10,Lampang,31.28662316476346
2023,11,Lampang,31.358238172920064
2023,12,Lampang,30.99429037520392
2023,1,Lamphun,28.754298642533936
2023,2,Lamphun,32.09276018099548
2023,3,Lamphun,34.342533936651584
2023,4,Lamphun,37.148868778280544
2023,5,Lamphun,34.516742081447966
2023,6,Lamphun,32.13031674208145
2023,7,Lamphun,31.53846153846154
2023,8,Lamphun,31.03846153846154
2023,9,Lamphun,30.91085972850679
2023,10,Lamphun,31.03574660633484
2023,11,Lamphun,31.30723981900452
2023,12,Lamphun,30.898190045248867
2023,1,Loei,28.92341650671785
2023,2,Loei,32.40268714011516
2023,3,Loei,34.51247600767754
2023,4,Loei,36.77485604606526
2023,5,Loei,34.95163147792706
2023,6,Loei,32.78291746641075
2023,7,Loei,32.246257197696735
2023,8,Loei,31.253742802303265
2023,9,Loei,30.88157389635317
2023,10,Loei,31.321497120921304
2023,11,Loei,30.81285988483685
2023,12,Loei,30.316698656429946
2023,1,Lop Buri,30.697798742138364
2023,2,Lop Buri,33.64905660377358
2023,3,Lop Buri,35.50880503144654
2023,4,Lop Buri,37.64213836477988
2023,5,Lop Buri,35.96509433962264
2023,6,Lop Buri,34.72044025157233
2023,7,Lop Buri,34.00377358490566
2023,8,Lop Buri,33.51289308176101
2023,9,Lop Buri,32.300000000000004
2023,10,Lop Buri,32.64339622641509
2023,11,Lop Buri,32.75377358490566
2023,12,Lop Buri,32.85283018867925
2023,1,Mae Hong Son,28.055625990491286
2023,2,Mae Hong Son,31.52931854199683
2023,3,Mae Hong Son,33.82646592709984
2023,4,Mae Hong Son,36.66053882725832
2023,5,Mae Hong Son,33.354516640253564
2023,6,Mae Hong Son,30.256418383518223
2023,7,Mae Hong Son,29.9486529318542
2023,8,Mae Hong Son,29.53454833597464
2023,9,Mae Hong Son,29.640729001584784
2023,10,Mae Hong Son,29.80158478605388
2023,11,Mae Hong Son,30.659270998415213
2023,12,Mae Hong Son,30.30142630744849
2023,1,Maha Sarakham,29.196691176470583
2023,2,Maha Sarakham,33.3172794117647
