year,month,province,tmax
1971,8,Amnat Charoen,30.625625
1971,9,Amnat Charoen,31.09975694
1971,10,Amnat Charoen,29.90184028
1971,11,Amnat Charoen,28.43517361
1971,12,Amnat Charoen,28.8140625
1972,1,Amnat Charoen,28.87107639
1972,2,Amnat Charoen,31.9640625
1972,3,Amnat Charoen,33.62364583
1972,4,Amnat Charoen,33.39840278
1972,5,Amnat Charoen,35.47548611
1972,6,Amnat Charoen,32.17319444
1972,7,Amnat Charoen,30.99920139
1972,8,Amnat Charoen,30.39243056
1972,9,Amnat Charoen,30.83423611
1972,10,Amnat Charoen,31.70267361
1972,11,Amnat Charoen,30.6034375
1972,12,Amnat Charoen,30.08538194
1973,1,Amnat Charoen,30.89173611
1973,2,Amnat Charoen,34.02517361
1973,3,Amnat Charoen,35.5678125
1973,4,Amnat Charoen,36.87704861
1973,5,Amnat Charoen,34.08298611
1973,6,Amnat Charoen,32.57190972
1973,7,Amnat Charoen,31.34322917
1973,8,Amnat Charoen,30.90302083
1973,9,Amnat Charoen,30.64996528
1973,10,Amnat Charoen,30.60180556
1973,11,Amnat Charoen,28.85989583
1973,12,Amnat Charoen,27.90013889
1974,1,Amnat Charoen,29.85809028
1974,2,Amnat Charoen,30.6678125
1974,3,Amnat Charoen,33.36961806
1974,4,Amnat Charoen,34.25753472
1974,5,Amnat Charoen,33.41208333
1974,6,Amnat Charoen,31.97277778
1974,7,Amnat Charoen,31.69545139
1974,8,Amnat Charoen,30.52381944
1974,9,Amnat Charoen,31.47173611
1974,10,Amnat Charoen,31.02045139
1974,11,Amnat Charoen,29.88979167
1974,12,Amnat Charoen,28.72770833
1975,1,Amnat Charoen,29.33149306
1975,2,Amnat Charoen,32.50354167
1975,3,Amnat Charoen,34.76055556
1975,4,Amnat Charoen,36.26659722
1975,5,Amnat Charoen,33.49763889
1975,6,Amnat Charoen,31.39677083
1975,7,Amnat Charoen,31.33284722
1975,8,Amnat Charoen,30.28232639
1975,9,Amnat Charoen,30.95097222
1975,10,Amnat Charoen,30.61510417
1975,11,Amnat Charoen,29.73152778
1975,12,Amnat Charoen,27.12875
1976,1,Amnat Charoen,30.13527778
1976,2,Amnat Charoen,33.50899306
1976,3,Amnat Charoen,34.32253472
1976,4,Amnat Charoen,35.55107639
1976,5,Amnat Charoen,32.88680556
1976,6,Amnat Charoen,32.91350694
1976,7,Amnat Charoen,31.23670139
1976,8,Amnat Charoen,30.47170139
1976,9,Amnat Charoen,30.6846875
1976,10,Amnat Charoen,31.14354167
1976,11,Amnat Charoen,27.74236111
1976,12,Amnat Charoen,29.59215278
1977,1,Amnat Charoen,30.59309028
1977,2,Amnat Charoen,31.19697917
1977,3,Amnat Charoen,34.51767361
1977,4,Amnat Charoen,35.40378472
1977,5,Amnat Charoen,34.26149306
1977,6,Amnat Charoen,33.8675
1977,7,Amnat Charoen,31.75645833
1977,8,Amnat Charoen,31.37875
1977,9,Amnat Charoen,30.36722222
1977,10,Amnat Charoen,31.82302083
1977,11,Amnat Charoen,29.84875
1977,12,Amnat Charoen,30.65375
1978,1,Amnat Charoen,31.2940625
1978,2,Amnat Charoen,31.45753472
1978,3,Amnat Charoen,35.70486111
1978,4,Amnat Charoen,35.403125
1978,5,Amnat Charoen,33.39326389
1978,6,Amnat Charoen,32.4078125
1978,7,Amnat Charoen,30.74732639
1978,8,Amnat Charoen,30.13576389
1978,9,Amnat Charoen,29.72416667
1978,10,Amnat Charoen,30.65201389
1978,11,Amnat Charoen,30.20381944
1978,12,Amnat Charoen,30.00586806
1979,1,Amnat Charoen,32.18597222
1979,2,Amnat Charoen,33.97097222
1979,3,Amnat Charoen,37.21083333
1979,4,Amnat Charoen,35.87628472
1979,5,Amnat Charoen,33.28666667
1979,6,Amnat Charoen,31.7478125
1979,7,Amnat Charoen,32.13201389
1979,8,Amnat Charoen,30.89309028
1979,9,Amnat Charoen,31.15076389
1979,10,Amnat Charoen,31.56725694
1979,11,Amnat Charoen,30.41861111
1979,12,Amnat Charoen,30.46149306
1980,1,Amnat Charoen,31.67774306
1980,2,Amnat Charoen,33.13520833
1980,3,Amnat Charoen,36.14197917
1980,4,Amnat Charoen,36.43899306
1980,5,Amnat Charoen,34.56965278
1980,6,Amnat Charoen,31.50427083
1980,7,Amnat Charoen,31.35340278
1980,8,Amnat Charoen,31.21083333
1980,9,Amnat Charoen,29.80555556
1980,10,Amnat Charoen,30.81180556
1980,11,Amnat Charoen,31.08871528
1980,12,Amnat Charoen,29.77892361
1981,1,Amnat Charoen,29.31576389
1981,2,Amnat Charoen,32.73982639
1981,3,Amnat Charoen,35.20381944
1981,4,Amnat Charoen,34.32798611
1981,5,Amnat Charoen,32.95586806
1981,6,Amnat Charoen,31.03003472
1981,7,Amnat Charoen,30.22920139
1981,8,Amnat Charoen,30.80197917
1981,9,Amnat Charoen,31.69329861
1981,10,Amnat Charoen,30.58079861
1981,11,Amnat Charoen,29.47482639
1981,12,Amnat Charoen,27.74059028
1982,1,Amnat Charoen,29.71048611
1982,2,Amnat Charoen,32.36756944
1982,3,Amnat Charoen,35.46201389
1982,4,Amnat Charoen,33.79746528
1982,5,Amnat Charoen,34.07809028
1982,6,Amnat Charoen,31.64097222
1982,7,Amnat Charoen,30.96805556
1982,8,Amnat Charoen,29.93315972
1982,9,Amnat Charoen,29.51927083
1982,10,Amnat Charoen,31.11767361
1982,11,Amnat Charoen,30.92697917
1982,12,Amnat Charoen,27.79381944
1983,1,Amnat Charoen,28.93503472
1983,2,Amnat Charoen,33.08083333
1983,3,Amnat Charoen,35.32177083
1983,4,Amnat Charoen,37.76861111
1983,5,Amnat Charoen,35.175625
1983,6,Amnat Charoen,32.3109375
1983,7,Amnat Charoen,32.02538194
1983,8,Amnat Charoen,30.93673611
1983,9,Amnat Charoen,31.15402778
1983,10,Amnat Charoen,30.28423611
1983,11,Amnat Charoen,28.67138889
1983,12,Amnat Charoen,28.37569444
1984,1,Amnat Charoen,29.42857639
1984,2,Amnat Charoen,32.77284722
1984,3,Amnat Charoen,34.83982639
1984,4,Amnat Charoen,35.57329861
1984,5,Amnat Charoen,33.13340278
1984,6,Amnat Charoen,31.16690972
1984,7,Amnat Charoen,30.87940972
1984,8,Amnat Charoen,30.33048611
1984,9,Amnat Charoen,30.23854167
1984,10,Amnat Charoen,30.13888889
1984,11,Amnat Charoen,29.73975694
1984,12,Amnat Charoen,29.74684028
1985,1,Amnat Charoen,30.53138889
1985,2,Amnat Charoen,32.7203125
1985,3,Amnat Charoen,34.71423611
1985,4,Amnat Charoen,34.93277778
1985,5,Amnat Charoen,32.58739583
1985,6,Amnat Charoen,30.60409722
1985,7,Amnat Charoen,30.72545139
1985,8,Amnat Charoen,30.68229167
1985,9,Amnat Charoen,30.23826389
1985,10,Amnat Charoen,30.65819444
1985,11,Amnat Charoen,30.53680556
1985,12,Amnat Charoen,29.31024306
1986,1,Amnat Charoen,29.27288194
1986,2,Amnat Charoen,32.58954861
1986,3,Amnat Charoen,34.82166667
1986,4,Amnat Charoen,35.22809028
1986,5,Amnat Charoen,32.3946875
1986,6,Amnat Charoen,32.35583333
1986,7,Amnat Charoen,30.93670139
1986,8,Amnat Charoen,31.32621528
1986,9,Amnat Charoen,31.28239583
1986,10,Amnat Charoen,30.96836806
1986,11,Amnat Charoen,29.75722222
1986,12,Amnat Charoen,29.44895833
1987,1,Amnat Charoen,30.66444444
1987,2,Amnat Charoen,32.50159722
1987,3,Amnat Charoen,35.02701389
1987,4,Amnat Charoen,36.13138889
1987,5,Amnat Charoen,34.61694444
1987,6,Amnat Charoen,32.37829861
1987,7,Amnat Charoen,31.85364583
1987,8,Amnat Charoen,31.53975694
1987,9,Amnat Charoen,30.75777778
1987,10,Amnat Charoen,31.83829861
1987,11,Amnat Charoen,30.64329861
1987,12,Amnat Charoen,27.71885417
1988,1,Amnat Charoen,31.4896875
1988,2,Amnat Charoen,32.87322917
1988,3,Amnat Charoen,35.56850694
1988,4,Amnat Charoen,35.14743056
1988,5,Amnat Charoen,32.71694444
1988,6,Amnat Charoen,31.58854167
1988,7,Amnat Charoen,31.6628125
1988,8,Amnat Charoen,30.88326389
1988,9,Amnat Charoen,31.65204861
1988,10,Amnat Charoen,29.52239583
1988,11,Amnat Charoen,28.67864583
1988,12,Amnat Charoen,28.82315972
1989,1,Amnat Charoen,31.0840625
1989,2,Amnat Charoen,32.67805556
1989,3,Amnat Charoen,33.50885417
1989,4,Amnat Charoen,36.14135417
1989,5,Amnat Charoen,33.66138889
1989,6,Amnat Charoen,31.3271875
1989,7,Amnat Charoen,31.33201389
1989,8,Amnat Charoen,31.01986111
1989,9,Amnat Charoen,30.9459375
1989,10,Amnat Charoen,30.72760417
1989,11,Amnat Charoen,30.12399306
1989,12,Amnat Charoen,29.44013889
1990,1,Amnat Charoen,31.21809028
1990,2,Amnat Charoen,32.68430556
1990,3,Amnat Charoen,33.37159722
1990,4,Amnat Charoen,36.26461806
1990,5,Amnat Charoen,33.33923611
1990,6,Amnat Charoen,31.67836806
1990,7,Amnat Charoen,30.95145833
1990,8,Amnat Charoen,31.47347222
1990,9,Amnat Charoen,30.98236111
1990,10,Amnat Charoen,30.54121528
1990,11,Amnat Charoen,30.26434028
1990,12,Amnat Charoen,29.96625
1991,1,Amnat Charoen,32.45520833
1991,2,Amnat Charoen,33.43159722
1991,3,Amnat Charoen,36.48885417
1991,4,Amnat Charoen,37.14947917
1991,5,Amnat Charoen,35.51864583
1991,6,Amnat Charoen,32.45788194
1991,7,Amnat Charoen,31.69152778
1991,8,Amnat Charoen,30.52552083
1991,9,Amnat Charoen,31.15024306
1991,10,Amnat Charoen,30.71010417
1991,11,Amnat Charoen,30.15517361
1991,12,Amnat Charoen,29.82944444
1992,1,Amnat Charoen,28.74524306
1992,2,Amnat Charoen,32.26760417
1992,3,Amnat Charoen,36.23951389
1992,4,Amnat Charoen,38.2396875
1992,5,Amnat Charoen,35.93100694
1992,6,Amnat Charoen,32.54020833
1992,7,Amnat Charoen,31.46114583
1992,8,Amnat Charoen,31.12576389
1992,9,Amnat Charoen,31.34420139
1992,10,Amnat Charoen,30.00725694
1992,11,Amnat Charoen,29.4296875
1992,12,Amnat Charoen,30.05909722
1993,1,Amnat Charoen,29.90913194
1993,2,Amnat Charoen,32.44149306
1993,3,Amnat Charoen,35.43260417
1993,4,Amnat Charoen,35.78434028
1993,5,Amnat Charoen,34.778125
1993,6,Amnat Charoen,33.276875
1993,7,Amnat Charoen,32.25246528
1993,8,Amnat Charoen,30.96947917
1993,9,Amnat Charoen,31.26329861
1993,10,Amnat Charoen,31.8115625
1993,11,Amnat Charoen,31.31947917
1993,12,Amnat Charoen,29.26836806
1994,1,Amnat Charoen,31.84225694
1994,2,Amnat Charoen,34.08715278
1994,3,Amnat Charoen,33.70965278
1994,4,Amnat Charoen,36.74045139
1994,5,Amnat Charoen,34.27166667
1994,6,Amnat Charoen,31.38409722
1994,7,Amnat Charoen,30.98579861
1994,8,Amnat Charoen,30.99381944
1994,9,Amnat Charoen,31.16694444
1994,10,Amnat Charoen,31.18506944
1994,11,Amnat Charoen,30.81645833
1994,12,Amnat Charoen,31.33194444
1995,1,Amnat Charoen,31.10899306
1995,2,Amnat Charoen,32.21965278
1995,3,Amnat Charoen,35.60118056
1995,4,Amnat Charoen,36.85086806
1995,5,Amnat Charoen,34.60631944
1995,6,Amnat Charoen,33.20690972
1995,7,Amnat Charoen,31.52336806
1995,8,Amnat Charoen,31.32131944
1995,9,Amnat Charoen,31.61694444
1995,10,Amnat Charoen,31.51645833
1995,11,Amnat Charoen,30.41670139
1995,12,Amnat Charoen,29.183125
1996,1,Amnat Charoen,31.18194444
1996,2,Amnat Charoen,31.44163194
